38:17:c3:1f:00:b0,38:17:c3:1f:00:b1,38:17:c3:1f:00:a1,b4:5d:50:e1:96:40,b4:5d:50:e1:96:42,38:17:c3:1f:00:a2,20:a6:cd:42:0a:d2,38:17:c3:1f:14:10,38:17:c3:1f:00:a0,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:c3,38:17:c3:1f:14:11,38:17:c3:1f:14:12,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,44:48:c1:91:d0:11,38:17:c3:1f:14:00,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c2,44:48:c1:91:d0:12,44:48:c1:91:d0:14,44:48:c1:91:d0:02,38:17:c3:1f:14:01,38:17:c3:1f:14:02,44:48:c1:91:d0:01,44:48:c1:91:d0:10,44:48:c1:91:d0:00,38:17:c3:1f:09:91,38:17:c3:1f:09:92,38:17:c3:1f:19:d0,38:17:c3:1f:19:d2,38:17:c3:1f:09:90,38:17:c3:1f:19:d1,38:17:c3:1f:09:83,38:17:c3:1f:09:93,38:17:c3:1f:09:82,38:17:c3:19:45:b1,38:17:c3:19:45:b2,38:17:c3:19:45:b0,44:48:c1:91:95:a2,38:17:c3:24:47:50,44:48:c1:91:95:b2,44:48:c1:91:95:b3,44:48:c1:91:95:b0,38:17:c3:1f:00:b2,b4:5d:50:e1:96:43,b4:5d:50:e1:96:41,38:17:c3:1f:09:80,38:17:c3:1f:09:81,38:17:c3:24:47:51,a8:bd:27:4c:aa:81,38:17:c3:24:47:52,a8:bd:27:4c:aa:90,a8:bd:27:4c:aa:93,38:17:c3:19:45:a0,38:17:c3:19:45:a1,44:48:c1:91:95:b1,44:48:c1:91:d0:04,a8:bd:27:4c:aa:80,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:83,a8:bd:27:4c:aa:92,a8:bd:27:4c:aa:91,ac:e2:d3:c4:08:e6,38:17:c3:19:45:a2,38:17:c3:22:5e:f0,44:48:c1:91:95:a1,44:48:c1:91:95:a3,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f3,38:17:c3:19:d7:70,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e0,38:17:c3:19:d7:61,38:17:c3:19:d7:60,38:17:c3:19:d7:62,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:25:f0,80:8d:b7:55:25:e3,80:8d:b7:55:35:03,80:8d:b7:55:3a:50,80:8d:b7:55:25:e0,80:8d:b7:55:25:f3,80:8d:b7:55:25:e2,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:25:e1,80:8d:b7:55:25:f2,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:25:f1,80:8d:b7:55:35:12,66:2a:2f:53:7c:99,80:8d:b7:55:35:11,80:8d:b7:55:39:d0,ea:9e:b4:53:24:54,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,80:8d:b7:55:35:02,b0:be:76:f8:30:5e,80:8d:b7:55:35:00,80:8d:b7:55:35:01,38:17:c3:19:36:30,38:17:c3:1e:ff:10,38:17:c3:19:71:90,80:8d:b7:55:39:d1,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,20:a6:cd:50:24:a2,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,20:a6:cd:50:24:b0,80:8d:b7:55:39:d2,38:17:c3:1e:ff:00,38:17:c3:1f:22:30,20:a6:cd:50:24:a1,68:ff:7b:e4:af:38,80:8d:b7:55:29:c1,20:a6:cd:50:24:a0,38:17:c3:19:71:91,38:17:c3:19:71:92,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,80:8d:b7:55:29:c2,00:4e:35:df:06:50,80:8d:b7:55:29:d0,80:8d:b7:55:39:c2,80:8d:b7:55:29:c0,00:4e:35:df:06:40,00:4e:35:df:06:52,00:4e:35:df:06:51,38:17:c3:1f:22:31,38:17:c3:1f:22:32,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,38:17:c3:1f:0e:10,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:22:22,00:4e:35:de:e1:12,00:4e:35:df:06:42,38:17:c3:1f:19:f1,00:4e:35:de:e1:10,00:4e:35:df:06:41,68:ff:7b:e4:af:39,38:17:c3:22:61:90,80:8d:b7:55:4d:01,38:17:c3:19:36:32,38:17:c3:1f:0e:11,80:8d:b7:55:4d:02,38:17:c3:1f:08:50,38:17:c3:19:36:31,80:8d:b7:55:4d:00,80:8d:b7:55:4d:10,00:4e:35:de:e1:11,38:17:c3:1f:0e:12,38:17:c3:22:61:92,38:17:c3:22:61:91,80:8d:b7:55:4d:12,38:17:c3:19:71:80,22:ad:56:24:6b:8b,38:17:c3:19:71:82,f0:ab:54:14:10:2c,38:17:c3:19:71:81,b4:5d:50:e1:92:23,80:3f:5d:c5:f8:e4,80:8d:b7:55:4d:11,x,y,label
-64,-64,-77,-97,-96,-81,-82,-74,-75,-82,-82,-82,-91,-74,-74,-91,-92,-90,-87,-87,-85,-95,-96,-94,-89,-85,-95,-94,-96,-97,-89,-97,-100,-98,-92,-92,-97,-94,-95,-95,-94,-93,-91,-93,-100,-92,-96,-95,-100,-64,-95,-97,-98,-98,-95,-90,-94,-93,-93,-100,-100,-100,-97,-90,-95,-92,-95,-97,-93,-100,-100,-100,-98,-97,-98,-99,-98,-97,-99,-98,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-99,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-99,-99,-100,-100,-100,-100,-92,-100,-100,-100,-100,350,243,1
-62,-62,-77,-97,-97,-83,-80,-74,-77,-80,-81,-80,-92,-74,-74,-92,-92,-89,-86,-86,-87,-94,-94,-94,-87,-83,-93,-95,-96,-96,-83,-96,-100,-97,-88,-87,-98,-90,-93,-95,-91,-93,-91,-93,-100,-90,-94,-92,-100,-62,-96,-97,-97,-97,-92,-92,-92,-92,-91,-100,-100,-100,-96,-92,-95,-90,-93,-95,-100,-100,-100,-100,-97,-95,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-99,-100,-90,-100,-100,-100,-91,-100,-100,-100,-100,-99,-99,-100,-100,-100,-100,-92,-100,-100,-100,-100,350,243,1
-67,-67,-76,-96,-95,-76,-87,-74,-70,-87,-87,-87,-88,-74,-74,-91,-92,-91,-89,-88,-81,-97,-98,-94,-91,-88,-100,-91,-92,-100,-97,-100,-100,-100,-100,-100,-94,-100,-97,-96,-100,-93,-94,-94,-100,-96,-100,-100,-100,-67,-95,-99,-100,-100,-100,-87,-99,-95,-95,-100,-100,-100,-100,-87,-95,-96,-100,-100,-85,-100,-100,-100,-100,-100,-100,-97,-95,-92,-98,-94,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,226,2
-67,-67,-77,-97,-95,-76,-87,-74,-70,-87,-87,-87,-88,-74,-74,-91,-91,-90,-89,-88,-81,-97,-98,-94,-91,-88,-99,-92,-93,-100,-97,-100,-100,-100,-100,-100,-94,-100,-98,-95,-100,-93,-93,-93,-100,-96,-100,-100,-100,-67,-95,-99,-100,-100,-100,-87,-99,-95,-95,-100,-100,-100,-100,-87,-95,-96,-100,-100,-85,-100,-100,-100,-100,-100,-100,-98,-94,-91,-98,-94,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,226,2
-67,-67,-76,-96,-95,-76,-87,-74,-70,-87,-87,-87,-88,-74,-74,-91,-92,-91,-89,-88,-81,-97,-98,-94,-91,-88,-100,-91,-92,-100,-97,-100,-100,-100,-100,-100,-94,-100,-97,-96,-100,-93,-94,-94,-100,-96,-100,-100,-100,-67,-95,-99,-100,-100,-100,-87,-99,-95,-95,-100,-100,-100,-100,-87,-95,-96,-100,-100,-85,-100,-100,-100,-100,-100,-100,-97,-95,-92,-98,-94,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,226,2
-67,-67,-76,-96,-95,-76,-88,-75,-70,-88,-88,-88,-88,-74,-75,-91,-91,-90,-89,-88,-81,-97,-98,-94,-90,-88,-100,-90,-91,-100,-96,-100,-100,-100,-100,-100,-94,-100,-97,-96,-100,-93,-93,-93,-100,-96,-100,-100,-100,-67,-95,-99,-100,-100,-100,-87,-99,-95,-94,-100,-100,-100,-100,-87,-95,-96,-100,-100,-85,-100,-100,-100,-100,-100,-100,-97,-95,-91,-98,-94,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,226,2
-67,-67,-76,-96,-95,-76,-87,-74,-70,-87,-87,-87,-88,-74,-74,-91,-92,-91,-89,-88,-81,-97,-98,-94,-91,-88,-100,-91,-92,-100,-97,-100,-100,-100,-100,-100,-94,-100,-97,-96,-100,-93,-94,-94,-100,-96,-100,-100,-100,-67,-95,-99,-100,-100,-100,-87,-99,-95,-95,-100,-100,-100,-100,-87,-95,-96,-100,-100,-85,-100,-100,-100,-100,-100,-100,-97,-95,-92,-98,-94,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,226,2
-67,-67,-76,-95,-95,-76,-87,-74,-70,-87,-87,-87,-89,-74,-74,-91,-92,-91,-89,-87,-81,-97,-98,-95,-90,-87,-100,-90,-91,-100,-97,-100,-100,-100,-100,-100,-94,-100,-97,-96,-100,-94,-94,-94,-100,-96,-100,-100,-100,-67,-96,-99,-100,-100,-100,-87,-99,-95,-95,-100,-100,-100,-100,-87,-95,-95,-100,-100,-85,-100,-100,-100,-100,-100,-100,-97,-95,-92,-98,-94,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,226,2
-67,-67,-76,-95,-95,-76,-87,-74,-70,-87,-87,-87,-89,-74,-74,-91,-92,-91,-89,-87,-81,-97,-98,-95,-90,-87,-100,-90,-91,-100,-97,-100,-100,-100,-100,-100,-94,-100,-97,-96,-100,-94,-94,-94,-100,-96,-100,-100,-100,-67,-96,-99,-100,-100,-100,-87,-99,-95,-95,-100,-100,-100,-100,-87,-95,-95,-100,-100,-85,-100,-100,-100,-100,-100,-100,-97,-95,-92,-98,-94,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,209,3
-67,-67,-76,-96,-95,-76,-87,-74,-70,-87,-87,-87,-88,-74,-74,-91,-92,-91,-89,-88,-81,-97,-98,-94,-91,-88,-100,-91,-92,-100,-97,-100,-100,-100,-100,-100,-94,-100,-97,-96,-100,-93,-94,-94,-100,-96,-100,-100,-100,-67,-95,-99,-100,-100,-100,-87,-99,-95,-95,-100,-100,-100,-100,-87,-95,-96,-100,-100,-85,-100,-100,-100,-100,-100,-100,-97,-95,-92,-98,-94,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,209,3
-68,-68,-77,-97,-95,-76,-86,-74,-70,-86,-86,-86,-89,-74,-74,-91,-92,-91,-89,-88,-81,-97,-99,-94,-92,-88,-99,-93,-94,-100,-98,-100,-100,-100,-100,-100,-94,-100,-97,-96,-100,-94,-94,-94,-100,-96,-100,-100,-100,-67,-95,-99,-100,-100,-100,-87,-99,-96,-96,-100,-100,-100,-100,-87,-96,-96,-100,-100,-85,-100,-100,-100,-100,-100,-100,-97,-95,-92,-98,-95,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,209,3
-67,-67,-76,-96,-95,-76,-87,-74,-70,-87,-87,-87,-88,-74,-74,-91,-92,-91,-89,-88,-81,-97,-98,-94,-91,-88,-100,-91,-92,-100,-97,-100,-100,-100,-100,-100,-94,-100,-97,-96,-100,-93,-94,-94,-100,-96,-100,-100,-100,-67,-95,-99,-100,-100,-100,-87,-99,-95,-95,-100,-100,-100,-100,-87,-95,-96,-100,-100,-85,-100,-100,-100,-100,-100,-100,-97,-95,-92,-98,-94,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,209,3
-67,-67,-76,-95,-95,-76,-87,-74,-70,-87,-87,-87,-89,-74,-74,-91,-92,-91,-89,-87,-81,-97,-98,-95,-90,-87,-100,-90,-91,-100,-97,-100,-100,-100,-100,-100,-94,-100,-97,-96,-100,-94,-94,-94,-100,-96,-100,-100,-100,-67,-96,-99,-100,-100,-100,-87,-99,-95,-95,-100,-100,-100,-100,-87,-95,-95,-100,-100,-85,-100,-100,-100,-100,-100,-100,-97,-95,-92,-98,-94,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,209,3
-67,-67,-76,-96,-95,-76,-87,-74,-70,-87,-87,-87,-88,-74,-74,-91,-92,-91,-89,-88,-81,-97,-98,-94,-91,-88,-100,-91,-92,-100,-97,-100,-100,-100,-100,-100,-94,-100,-97,-96,-100,-93,-94,-94,-100,-96,-100,-100,-100,-67,-95,-99,-100,-100,-100,-87,-99,-95,-95,-100,-100,-100,-100,-87,-95,-96,-100,-100,-85,-100,-100,-100,-100,-100,-100,-97,-95,-92,-98,-94,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,209,3
-67,-67,-76,-95,-94,-76,-87,-74,-70,-88,-87,-87,-89,-74,-74,-91,-92,-91,-89,-88,-81,-97,-98,-94,-90,-88,-100,-90,-91,-100,-97,-100,-100,-100,-100,-100,-94,-100,-97,-96,-100,-93,-94,-94,-100,-96,-100,-100,-100,-67,-95,-99,-100,-100,-100,-87,-99,-95,-95,-100,-100,-100,-100,-87,-96,-95,-100,-100,-85,-100,-100,-100,-100,-100,-100,-97,-95,-92,-98,-95,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,192,4
-67,-67,-76,-95,-94,-76,-87,-74,-70,-88,-87,-87,-89,-74,-74,-91,-92,-91,-89,-88,-81,-97,-98,-94,-90,-88,-100,-90,-91,-100,-97,-100,-100,-100,-100,-100,-94,-100,-97,-96,-100,-93,-94,-94,-100,-96,-100,-100,-100,-67,-95,-99,-100,-100,-100,-87,-99,-95,-95,-100,-100,-100,-100,-87,-96,-95,-100,-100,-85,-100,-100,-100,-100,-100,-100,-97,-95,-92,-98,-95,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,192,4
-67,-67,-77,-96,-95,-76,-87,-74,-70,-87,-87,-86,-89,-74,-74,-91,-92,-91,-89,-88,-81,-97,-99,-94,-91,-88,-99,-92,-93,-100,-98,-100,-100,-100,-100,-100,-94,-100,-97,-96,-100,-93,-93,-94,-100,-96,-100,-100,-100,-67,-95,-99,-100,-100,-100,-87,-99,-95,-95,-100,-100,-100,-100,-87,-96,-96,-100,-100,-85,-100,-100,-100,-100,-100,-100,-97,-95,-92,-98,-95,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,192,4
-67,-67,-77,-96,-95,-76,-87,-74,-70,-87,-87,-86,-89,-74,-74,-91,-92,-91,-89,-88,-81,-97,-99,-94,-91,-88,-99,-92,-93,-100,-98,-100,-100,-100,-100,-100,-94,-100,-97,-96,-100,-93,-93,-94,-100,-96,-100,-100,-100,-67,-95,-99,-100,-100,-100,-87,-99,-95,-95,-100,-100,-100,-100,-87,-96,-96,-100,-100,-85,-100,-100,-100,-100,-100,-100,-97,-95,-92,-98,-95,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,192,4
-67,-67,-77,-96,-95,-76,-87,-74,-70,-87,-87,-86,-89,-74,-74,-91,-92,-91,-89,-88,-81,-97,-99,-94,-91,-88,-99,-92,-93,-100,-98,-100,-100,-100,-100,-100,-94,-100,-97,-96,-100,-93,-93,-94,-100,-96,-100,-100,-100,-67,-95,-99,-100,-100,-100,-87,-99,-95,-95,-100,-100,-100,-100,-87,-96,-96,-100,-100,-85,-100,-100,-100,-100,-100,-100,-97,-95,-92,-98,-95,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,192,4
-67,-67,-76,-95,-95,-76,-87,-74,-70,-87,-87,-87,-89,-74,-74,-91,-92,-91,-89,-87,-81,-97,-98,-95,-90,-87,-100,-90,-91,-100,-97,-100,-100,-100,-100,-100,-94,-100,-97,-96,-100,-94,-94,-94,-100,-96,-100,-100,-100,-67,-96,-99,-100,-100,-100,-87,-99,-95,-95,-100,-100,-100,-100,-87,-95,-95,-100,-100,-85,-100,-100,-100,-100,-100,-100,-97,-95,-92,-98,-94,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,350,192,4
