60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b0,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,38:17:c3:1f:00:a0,38:17:c3:1f:14:02,b4:5d:50:e1:96:43,38:17:c3:1f:14:01,38:17:c3:1f:14:00,44:48:c1:91:d0:04,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c2,9c:d6:43:60:92:e0,44:48:c1:91:d0:01,44:48:c1:91:d0:00,44:48:c1:91:d0:02,20:a6:cd:42:0a:c0,b4:5d:50:e1:96:40,20:a6:cd:42:0a:c3,a8:bd:27:4c:aa:83,44:48:c1:91:d0:11,44:48:c1:91:d0:10,44:48:c1:91:d0:14,44:48:c1:91:d0:12,38:17:c3:1f:14:12,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,38:17:c3:1f:14:11,38:17:c3:1f:14:10,38:17:c3:1f:09:83,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d2,b4:5d:50:e1:96:53,b4:5d:50:e1:96:50,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,38:17:c3:19:45:b1,38:17:c3:1f:09:92,38:17:c3:1f:09:90,38:17:c3:19:45:a0,44:48:c1:91:95:a1,44:48:c1:91:95:a0,38:17:c3:19:45:b2,38:17:c3:19:45:b0,38:17:c3:1f:09:91,38:17:c3:1f:09:82,44:48:c1:91:95:b3,44:48:c1:91:95:b2,44:48:c1:91:95:b0,38:17:c3:1f:09:93,44:48:c1:91:95:b1,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,38:17:c3:24:47:52,38:17:c3:24:47:50,ac:e2:d3:c4:08:e6,a8:bd:27:4c:aa:92,38:17:c3:1f:19:d0,a8:bd:27:4c:aa:93,38:17:c3:24:47:51,a8:bd:27:4c:aa:90,72:32:b1:3e:1a:b7,b4:5d:50:e1:96:42,b4:5d:50:e1:96:41,38:17:c3:1f:09:80,38:17:c3:1f:09:81,44:48:c1:91:95:a3,44:48:c1:91:95:a2,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,38:17:c3:1f:19:c1,20:a6:cd:42:13:f0,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:22:61:90,66:2a:2f:53:7c:99,a8:bd:27:4c:aa:80,44:48:c1:91:aa:30,38:17:c3:1f:19:f1,38:17:c3:1f:19:f2,38:17:c3:1f:19:f0,38:17:c3:19:d7:70,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:72,38:17:c3:19:d7:71,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f1,38:17:c3:19:d7:62,38:17:c3:19:d7:61,38:17:c3:19:d7:60,80:8d:b7:55:25:e3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,80:8d:b7:55:35:03,80:8d:b7:55:35:13,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:35:10,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,80:8d:b7:55:25:e2,80:8d:b7:55:35:02,80:8d:b7:55:3a:50,80:8d:b7:55:35:01,80:8d:b7:55:35:00,b0:be:76:f8:30:5e,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,ea:9e:b4:53:24:54,80:8d:b7:55:3a:40,80:8d:b7:55:35:11,80:8d:b7:55:35:12,38:17:c3:19:71:90,38:17:c3:19:36:30,38:17:c3:1e:ff:10,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,68:ff:7b:e4:af:39,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,80:8d:b7:55:39:d0,68:ff:7b:e4:af:38,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:1f:22:30,80:8d:b7:55:29:c0,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:d1,80:8d:b7:55:29:d0,80:8d:b7:55:29:d2,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,20:a6:cd:50:24:b0,38:17:c3:1f:22:20,38:17:c3:1f:22:22,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:1f:22:21,38:17:c3:1f:0e:00,00:4e:35:de:e1:12,00:4e:35:df:06:42,00:4e:35:de:e1:10,00:4e:35:df:06:41,38:17:c3:22:5e:f0,86:0d:8e:aa:25:a4,80:8d:b7:55:4d:01,38:17:c3:24:56:50,80:8d:b7:55:39:d1,00:4e:35:df:06:52,00:4e:35:df:06:40,38:17:c3:19:36:32,00:4e:35:df:06:51,bc:42:8c:64:49:70,38:17:c3:22:5e:f2,38:17:c3:1a:cf:d0,38:17:c3:1a:cf:d1,38:17:c3:1f:0e:11,38:17:c3:1f:0e:01,20:a6:cd:42:13:f1,80:8d:b7:55:4d:02,38:17:c3:1f:08:50,38:17:c3:1a:cf:d2,38:17:c3:19:71:91,00:4e:35:df:06:50,38:17:c3:19:36:31,20:a6:cd:42:13:f2,38:17:c3:1f:0e:10,80:8d:b7:55:4d:00,80:8d:b7:55:39:d2,80:8d:b7:55:4d:10,00:4e:35:de:e1:11,38:17:c3:19:71:92,38:17:c3:1f:0e:02,38:17:c3:1f:0e:12,38:17:c3:22:61:92,38:17:c3:22:61:91,x,y,label
-84,-96,-86,-49,-48,-49,-54,-54,-55,-96,-95,-96,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-98,-83,-98,-100,-100,-100,-86,-100,-100,-85,-86,-90,-100,-100,-100,-100,-100,-100,-89,-100,-96,-84,-100,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-91,-94,-100,-100,-84,-84,-100,-100,-89,-100,-100,-100,-100,-90,-79,-83,-92,-91,-93,-93,-88,-89,-88,-88,-97,-93,-94,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,418,124,12
-80,-86,-84,-48,-49,-49,-51,-51,-51,-89,-95,-89,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-87,-98,-100,-100,-100,-88,-100,-100,-88,-87,-84,-100,-100,-100,-100,-100,-100,-87,-100,-100,-88,-100,-100,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-98,-90,-100,-100,-100,-100,-100,-100,-100,-97,-97,-100,-100,-91,-88,-100,-100,-97,-100,-100,-100,-100,-92,-88,-84,-89,-91,-100,-97,-91,-95,-91,-95,-94,-96,-97,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-80,-91,-84,-48,-49,-49,-51,-50,-51,-93,-95,-93,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-90,-98,-100,-100,-100,-88,-100,-100,-88,-86,-85,-100,-100,-100,-100,-100,-100,-87,-100,-100,-88,-100,-100,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-98,-100,-96,-87,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-91,-89,-100,-100,-97,-100,-100,-100,-100,-93,-88,-84,-89,-91,-100,-97,-93,-95,-93,-95,-94,-96,-97,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-80,-86,-84,-48,-49,-49,-51,-51,-51,-89,-95,-89,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-87,-98,-100,-100,-100,-88,-100,-100,-88,-87,-84,-100,-100,-100,-100,-100,-100,-87,-100,-100,-88,-100,-100,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-98,-90,-100,-100,-100,-100,-100,-100,-100,-97,-97,-100,-100,-91,-88,-100,-100,-97,-100,-100,-100,-100,-92,-88,-84,-89,-91,-100,-97,-91,-95,-91,-95,-94,-96,-97,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-80,-86,-84,-48,-49,-49,-51,-51,-51,-89,-95,-89,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-87,-98,-100,-100,-100,-88,-100,-100,-88,-87,-84,-100,-100,-100,-100,-100,-100,-87,-100,-100,-88,-100,-100,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-98,-90,-100,-100,-100,-100,-100,-100,-100,-97,-97,-100,-100,-91,-88,-100,-100,-97,-100,-100,-100,-100,-92,-88,-84,-89,-91,-100,-97,-91,-95,-91,-95,-94,-96,-97,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-80,-86,-84,-48,-49,-49,-51,-51,-51,-89,-95,-89,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-87,-98,-100,-100,-100,-88,-100,-100,-88,-87,-84,-100,-100,-100,-100,-100,-100,-87,-100,-100,-88,-100,-100,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-98,-90,-100,-100,-100,-100,-100,-100,-100,-97,-97,-100,-100,-91,-88,-100,-100,-97,-100,-100,-100,-100,-92,-88,-84,-89,-91,-100,-97,-91,-95,-91,-95,-94,-96,-97,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-80,-91,-84,-48,-49,-49,-51,-50,-51,-93,-95,-93,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-90,-98,-100,-100,-100,-88,-100,-100,-88,-86,-85,-100,-100,-100,-100,-100,-100,-87,-100,-100,-88,-100,-100,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-98,-100,-96,-87,-100,-100,-100,-100,-100,-100,-100,-97,-100,-100,-100,-91,-89,-100,-100,-97,-100,-100,-100,-100,-93,-88,-84,-89,-91,-100,-97,-93,-95,-93,-95,-94,-96,-97,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,435,124,13
-83,-91,-88,-48,-48,-48,-54,-54,-55,-85,-100,-85,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-86,-98,-100,-100,-100,-88,-100,-100,-88,-87,-88,-100,-100,-100,-100,-100,-100,-85,-100,-94,-81,-100,-100,-86,-85,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-98,-100,-100,-91,-100,-100,-100,-97,-100,-100,-100,-89,-94,-100,-100,-85,-81,-100,-100,-94,-100,-100,-100,-100,-88,-83,-81,-81,-88,-95,-92,-88,-91,-89,-90,-94,-93,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-81,-87,-83,-48,-48,-48,-54,-54,-54,-89,-95,-89,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-96,-84,-98,-100,-100,-100,-89,-100,-100,-89,-87,-89,-100,-100,-100,-100,-100,-100,-88,-100,-100,-83,-100,-100,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-83,-83,-100,-100,-94,-100,-100,-100,-100,-90,-86,-78,-87,-86,-97,-95,-89,-91,-88,-90,-92,-94,-94,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-80,-86,-84,-48,-48,-49,-51,-51,-51,-89,-95,-89,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-96,-87,-98,-100,-100,-100,-88,-100,-100,-87,-87,-86,-100,-100,-100,-100,-100,-100,-87,-100,-100,-91,-100,-100,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-98,-100,-98,-90,-100,-100,-100,-100,-100,-100,-100,-97,-97,-100,-100,-91,-86,-100,-100,-97,-100,-100,-100,-100,-91,-90,-87,-92,-91,-100,-97,-91,-95,-91,-95,-94,-96,-97,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-80,-87,-83,-48,-48,-48,-53,-52,-53,-89,-95,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-96,-87,-98,-100,-100,-100,-88,-100,-100,-88,-87,-88,-100,-100,-100,-100,-100,-100,-88,-100,-100,-87,-100,-100,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-98,-100,-98,-90,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-87,-85,-100,-100,-97,-100,-100,-100,-100,-91,-90,-83,-87,-86,-100,-95,-91,-93,-90,-93,-92,-94,-94,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-79,-87,-84,-48,-48,-48,-52,-52,-52,-89,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-94,-91,-98,-100,-100,-100,-89,-100,-100,-88,-87,-85,-100,-100,-100,-100,-100,-100,-84,-100,-100,-84,-100,-100,-83,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-98,-100,-96,-90,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-87,-85,-100,-100,-100,-100,-100,-100,-100,-91,-92,-84,-84,-91,-100,-95,-93,-95,-93,-95,-92,-94,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-82,-92,-82,-49,-49,-49,-55,-55,-55,-93,-95,-93,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-96,-85,-96,-100,-100,-100,-86,-100,-100,-86,-86,-90,-100,-100,-100,-100,-100,-100,-88,-100,-100,-83,-100,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-82,-82,-100,-100,-94,-100,-100,-100,-100,-90,-81,-77,-90,-82,-94,-95,-89,-88,-88,-88,-91,-91,-94,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,452,124,14
-82,-92,-82,-49,-49,-49,-55,-55,-55,-93,-95,-93,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-96,-85,-96,-100,-100,-100,-86,-100,-100,-86,-86,-90,-100,-100,-100,-100,-100,-100,-88,-100,-100,-83,-100,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-82,-82,-100,-100,-94,-100,-100,-100,-100,-90,-81,-77,-90,-82,-94,-95,-89,-88,-88,-88,-91,-91,-94,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,469,124,15
-83,-96,-83,-49,-49,-49,-54,-54,-54,-96,-95,-96,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-98,-82,-96,-100,-100,-100,-86,-100,-100,-85,-86,-89,-100,-100,-100,-100,-100,-100,-88,-100,-98,-84,-100,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-91,-94,-100,-100,-83,-83,-100,-100,-89,-100,-100,-100,-100,-90,-77,-81,-95,-86,-93,-95,-88,-88,-88,-88,-94,-90,-94,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,469,124,15
-83,-92,-83,-49,-48,-49,-55,-55,-55,-93,-95,-93,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-96,-82,-98,-100,-100,-100,-86,-100,-100,-86,-86,-90,-100,-100,-100,-100,-100,-100,-88,-100,-98,-83,-100,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-89,-94,-100,-100,-83,-83,-100,-100,-89,-100,-100,-100,-100,-90,-82,-82,-90,-86,-95,-93,-89,-89,-88,-88,-94,-91,-91,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,469,124,15
-82,-92,-82,-49,-49,-49,-55,-55,-55,-93,-95,-93,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-96,-85,-96,-100,-100,-100,-86,-100,-100,-86,-86,-90,-100,-100,-100,-100,-100,-100,-88,-100,-100,-83,-100,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-82,-82,-100,-100,-94,-100,-100,-100,-100,-90,-81,-77,-90,-82,-94,-95,-89,-88,-88,-88,-91,-91,-94,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,469,124,15
-82,-92,-82,-49,-49,-49,-55,-55,-55,-93,-95,-93,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-96,-85,-96,-100,-100,-100,-86,-100,-100,-86,-86,-90,-100,-100,-100,-100,-100,-100,-88,-100,-100,-83,-100,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-82,-82,-100,-100,-94,-100,-100,-100,-100,-90,-81,-77,-90,-82,-94,-95,-89,-88,-88,-88,-91,-91,-94,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,469,124,15
