60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,b4:5d:50:e1:96:51,b4:5d:50:e1:96:41,b4:5d:50:e1:96:42,b4:5d:50:e1:96:43,b4:5d:50:e1:96:53,38:17:c3:1f:00:b1,b4:5d:50:e1:96:52,38:17:c3:1f:00:b2,20:a6:cd:42:0a:c3,44:48:c1:91:d0:04,20:a6:cd:42:0a:c1,44:48:c1:91:d0:02,44:48:c1:91:d0:00,44:48:c1:91:d0:10,44:48:c1:91:d0:14,44:48:c1:91:d0:12,38:17:c3:1f:14:11,38:17:c3:1f:14:12,38:17:c3:1f:09:83,38:17:c3:1f:09:81,38:17:c3:1f:09:82,a8:bd:27:4c:aa:83,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,44:48:c1:91:95:a3,20:a6:cd:42:13:e2,20:a6:cd:42:13:e1,44:48:c1:91:95:b3,38:17:c3:1f:09:93,b4:5d:50:e1:96:50,38:17:c3:1f:00:b0,20:a6:cd:42:0a:c2,44:48:c1:91:d0:01,44:48:c1:91:d0:11,38:17:c3:1f:14:10,38:17:c3:19:45:a0,9c:d6:43:60:92:e0,38:17:c3:1f:19:d0,38:17:c3:1f:09:90,66:2a:2f:53:7c:99,20:a6:cd:42:0a:c0,38:17:c3:1f:14:01,38:17:c3:1f:14:02,44:48:c1:91:aa:22,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:24:47:52,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:91,38:17:c3:1f:14:00,38:17:c3:1f:09:80,44:48:c1:91:95:b2,38:17:c3:24:47:50,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d1,38:17:c3:19:45:b2,38:17:c3:19:45:b1,44:48:c1:91:95:a0,44:48:c1:91:95:a1,38:17:c3:1f:19:c2,38:17:c3:1f:19:c1,38:17:c3:1f:09:91,38:17:c3:1f:09:92,b4:5d:50:e1:96:40,20:a6:cd:42:0a:d2,38:17:c3:1f:19:c0,a8:bd:27:4c:aa:90,38:17:c3:19:45:a2,38:17:c3:19:45:a1,a8:bd:27:4c:aa:82,38:17:c3:1f:00:a0,38:17:c3:19:45:b0,44:48:c1:91:95:a2,a8:bd:27:4c:aa:92,38:17:c3:24:47:51,b6:e6:2d:69:d5:58,44:48:c1:91:aa:21,a8:bd:27:4c:aa:81,44:48:c1:91:aa:20,20:a6:cd:42:13:e0,a8:bd:27:4c:aa:80,38:17:c3:1a:cf:d2,38:17:c3:1a:cf:d1,38:17:c3:1a:cf:d0,ac:e2:d3:c4:08:e6,20:a6:cd:42:0b:e3,38:17:c3:1f:19:e1,38:17:c3:1f:19:e0,38:17:c3:1f:19:e2,80:8d:b7:55:25:e3,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:70,38:17:c3:19:d7:72,38:17:c3:19:d7:71,38:17:c3:19:d7:62,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,38:17:c3:19:d7:60,38:17:c3:19:d7:61,80:8d:b7:55:35:03,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,80:8d:b7:55:25:f0,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,ea:9e:b4:53:24:54,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,80:8d:b7:55:3a:42,80:8d:b7:55:3a:52,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:35:00,80:8d:b7:55:35:01,80:8d:b7:55:25:f1,80:8d:b7:55:35:02,80:8d:b7:55:35:13,80:8d:b7:55:39:d0,80:8d:b7:55:35:10,80:8d:b7:55:35:11,b0:be:76:f8:30:5e,38:17:c3:19:71:90,20:a6:cd:50:24:a1,38:17:c3:1e:ff:01,80:8d:b7:55:35:12,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,20:a6:cd:50:24:a2,38:17:c3:19:71:91,80:8d:b7:55:29:d0,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:29:c2,38:17:c3:19:71:81,38:17:c3:19:71:82,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,38:17:c3:1e:ff:12,80:8d:b7:55:29:c1,38:17:c3:1e:ff:02,38:17:c3:1e:ff:00,38:17:c3:19:36:22,38:17:c3:19:36:21,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,80:8d:b7:55:39:c0,38:17:c3:19:36:20,20:a6:cd:50:24:a0,20:a6:cd:50:24:b0,80:8d:b7:55:29:c0,20:a6:cd:50:24:b1,38:17:c3:1f:0e:10,00:4e:35:df:06:40,00:4e:35:df:06:41,00:4e:35:df:06:42,20:a6:cd:50:24:b2,38:17:c3:1f:22:30,38:17:c3:1f:0e:12,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:22:20,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:22:31,38:17:c3:1f:22:32,38:17:c3:1f:0e:00,38:17:c3:1f:0e:11,x,y,timestamp
-74,-83,-52,-52,-100,-100,-100,-85,-100,-52,-100,-52,-86,-81,-100,-100,-100,-100,-100,-100,-76,-77,-84,-100,-81,-79,-100,-100,-100,-100,-100,-100,-90,-100,-53,-100,-100,-100,-77,-80,-100,-100,-100,-100,-84,-70,-70,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-80,-79,-81,-52,-77,-100,-100,-100,-100,-100,-81,-100,-100,-81,-100,-100,-100,-76,-77,-100,-100,-100,-100,-76,-86,-86,-78,-78,-89,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,175,674,1471620449933
-71,-83,-54,-55,-100,-100,-100,-85,-100,-53,-100,-53,-86,-85,-100,-100,-100,-100,-100,-100,-76,-77,-83,-82,-82,-79,-100,-100,-100,-100,-100,-100,-90,-100,-53,-100,-100,-100,-77,-80,-100,-100,-100,-100,-100,-70,-70,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-76,-77,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-80,-79,-81,-54,-76,-100,-100,-100,-100,-100,-81,-100,-100,-81,-100,-100,-100,-74,-75,-100,-100,-100,-100,-76,-87,-87,-79,-79,-90,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,175,674,1475099765702
-70,-100,-54,-54,-100,-100,-100,-85,-100,-52,-100,-53,-86,-88,-100,-100,-100,-100,-100,-100,-76,-76,-83,-82,-82,-78,-100,-100,-100,-100,-100,-100,-90,-100,-53,-100,-100,-100,-76,-80,-100,-100,-100,-100,-100,-70,-70,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-90,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-80,-80,-80,-55,-77,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-74,-78,-100,-100,-100,-100,-78,-86,-86,-78,-79,-88,-100,-100,-86,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,175,674,1478596098933
-75,-100,-54,-54,-100,-100,-100,-85,-100,-52,-100,-52,-86,-88,-100,-100,-100,-100,-100,-100,-76,-76,-82,-81,-82,-80,-100,-100,-100,-100,-100,-100,-100,-100,-52,-100,-100,-100,-76,-78,-100,-100,-100,-100,-100,-72,-72,-100,-100,-100,-100,-100,-100,-72,-81,-100,-100,-88,-88,-88,-78,-78,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-79,-79,-80,-54,-78,-100,-100,-100,-100,-100,-81,-100,-100,-81,-100,-100,-100,-73,-76,-100,-100,-100,-100,-78,-86,-86,-78,-78,-88,-100,-100,-86,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,175,674,1482037835856
-75,-84,-52,-51,-100,-100,-100,-86,-100,-55,-100,-55,-84,-86,-100,-100,-100,-100,-100,-100,-78,-78,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-100,-100,-78,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-100,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-73,-100,-100,-100,-100,-100,-84,-84,-100,-100,-87,-86,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,190,674,1526024223474
-76,-84,-52,-52,-100,-100,-100,-86,-100,-55,-100,-55,-82,-86,-100,-100,-100,-100,-100,-100,-80,-80,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-100,-100,-81,-78,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-75,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-77,-80,-52,-75,-100,-100,-100,-100,-100,-79,-100,-100,-80,-100,-100,-100,-74,-74,-100,-100,-100,-100,-78,-83,-82,-79,-80,-86,-86,-88,-100,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,190,674,1529355104859
-74,-84,-50,-50,-100,-100,-100,-86,-100,-54,-100,-54,-84,-87,-100,-100,-100,-100,-100,-100,-81,-81,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,-100,-81,-77,-100,-100,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-76,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-80,-50,-77,-100,-100,-100,-100,-100,-79,-100,-100,-80,-100,-100,-100,-77,-74,-100,-100,-100,-100,-78,-82,-83,-80,-80,-88,-86,-88,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,190,674,1532746501321
-73,-100,-51,-51,-100,-100,-100,-86,-100,-54,-100,-55,-82,-88,-100,-100,-100,-100,-100,-100,-80,-80,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-100,-100,-80,-77,-100,-100,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-75,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-77,-80,-51,-75,-100,-100,-100,-100,-100,-80,-100,-100,-80,-100,-100,-100,-77,-74,-100,-100,-100,-100,-78,-83,-82,-80,-80,-88,-88,-88,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,190,674,1536119604167
-73,-100,-50,-50,-100,-100,-100,-87,-100,-54,-100,-54,-84,-88,-100,-100,-100,-100,-100,-100,-80,-80,-88,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,-100,-81,-78,-100,-100,-100,-100,-100,-80,-79,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-75,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-77,-80,-51,-75,-100,-100,-100,-100,-100,-80,-100,-100,-80,-100,-100,-100,-77,-76,-100,-100,-100,-100,-78,-82,-82,-79,-79,-88,-87,-87,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,190,674,1539494031552
-72,-86,-50,-50,-100,-100,-100,-100,-100,-54,-100,-54,-83,-100,-100,-100,-100,-100,-100,-100,-81,-80,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,-100,-81,-78,-100,-100,-100,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-79,-50,-75,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-78,-73,-100,-100,-100,-100,-100,-82,-83,-100,-100,-88,-88,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,190,674,1553628682861
-80,-100,-49,-49,-100,-100,-100,-100,-100,-57,-100,-57,-86,-100,-84,-100,-100,-100,-100,-100,-81,-81,-83,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-100,-100,-81,-79,-100,-100,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-79,-78,-100,-49,-77,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-76,-72,-100,-100,-100,-100,-74,-81,-81,-74,-73,-90,-90,-100,-100,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,205,674,1583342856632
-80,-100,-49,-50,-100,-100,-100,-100,-100,-53,-100,-53,-86,-100,-84,-100,-100,-100,-100,-100,-81,-86,-81,-83,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-53,-100,-100,-100,-85,-79,-100,-100,-93,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-89,-100,-76,-76,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-78,-79,-100,-50,-76,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-71,-73,-100,-100,-100,-100,-73,-83,-83,-73,-73,-90,-90,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,205,674,1586805054247
-78,-100,-50,-50,-100,-100,-100,-100,-100,-55,-100,-55,-86,-100,-84,-100,-100,-100,-100,-100,-81,-86,-81,-83,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-100,-100,-86,-79,-100,-100,-93,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-88,-100,-75,-75,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-76,-76,-100,-50,-75,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-73,-77,-100,-100,-100,-100,-74,-82,-82,-73,-74,-90,-90,-86,-81,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,205,674,1590311135478
-78,-100,-50,-50,-100,-100,-100,-100,-100,-57,-100,-57,-85,-87,-100,-100,-100,-100,-100,-100,-100,-86,-81,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-100,-100,-86,-77,-100,-100,-93,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-89,-100,-75,-75,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-75,-76,-100,-50,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-100,-73,-82,-82,-75,-74,-87,-88,-87,-81,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,205,674,1593698696324
-79,-100,-50,-50,-100,-100,-100,-100,-100,-57,-100,-57,-86,-87,-100,-100,-100,-100,-100,-100,-87,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-100,-100,-87,-77,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-82,-83,-100,-100,-100,-89,-100,-76,-76,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-76,-77,-100,-50,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-77,-100,-100,-100,-100,-74,-82,-82,-74,-74,-88,-87,-87,-81,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,205,674,1597129594402
-82,-100,-50,-50,-100,-100,-100,-100,-100,-55,-100,-54,-86,-87,-100,-100,-100,-100,-100,-100,-87,-100,-81,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-100,-100,-86,-75,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-82,-83,-100,-100,-100,-89,-100,-76,-76,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-76,-77,-73,-50,-76,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-73,-76,-100,-100,-100,-100,-74,-82,-82,-74,-74,-87,-87,-87,-81,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,205,674,1600490703171
-74,-86,-52,-52,-100,-100,-100,-100,-100,-63,-100,-63,-87,-100,-100,-100,-100,-100,-100,-100,-86,-85,-85,-82,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-76,-80,-52,-74,-100,-100,-100,-100,-100,-81,-100,-100,-81,-100,-100,-100,-69,-74,-100,-100,-100,-100,-100,-83,-83,-100,-78,-83,-83,-83,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,220,674,1641403375327
-76,-86,-50,-50,-100,-100,-100,-100,-88,-64,-100,-64,-87,-100,-100,-100,-100,-100,-100,-100,-85,-86,-85,-82,-82,-85,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-86,-77,-100,-100,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-77,-80,-50,-74,-100,-100,-100,-100,-100,-80,-100,-100,-80,-100,-100,-100,-68,-74,-100,-100,-100,-89,-100,-83,-84,-100,-78,-83,-83,-83,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,220,674,1644816910097
-76,-88,-51,-51,-100,-100,-100,-100,-88,-62,-100,-62,-86,-100,-100,-100,-100,-100,-100,-100,-83,-83,-85,-82,-82,-86,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-85,-77,-100,-100,-100,-100,-100,-81,-80,-100,-100,-100,-100,-100,-100,-80,-82,-100,-100,-100,-100,-100,-75,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-77,-81,-51,-75,-100,-100,-100,-100,-100,-81,-100,-100,-81,-100,-100,-100,-76,-74,-100,-100,-100,-89,-80,-81,-81,-79,-78,-82,-83,-82,-100,-80,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,220,674,1648216252405
-79,-88,-52,-52,-100,-100,-100,-100,-89,-58,-100,-58,-86,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-82,-82,-86,-100,-100,-100,-100,-100,-100,-100,-90,-58,-100,-100,-100,-87,-78,-100,-100,-100,-100,-100,-81,-80,-100,-100,-100,-100,-100,-100,-80,-82,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-79,-81,-53,-74,-100,-100,-100,-100,-100,-81,-100,-100,-81,-100,-100,-100,-66,-73,-100,-100,-100,-89,-78,-83,-83,-78,-78,-83,-83,-83,-100,-83,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,220,674,1651742171251
-75,-86,-52,-52,-100,-100,-100,-100,-89,-59,-100,-59,-86,-100,-100,-100,-100,-100,-100,-100,-83,-83,-82,-82,-82,-86,-100,-100,-100,-100,-100,-100,-100,-89,-59,-100,-100,-100,-87,-79,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-79,-83,-52,-73,-100,-100,-100,-100,-100,-82,-100,-100,-83,-100,-100,-100,-66,-73,-100,-100,-100,-100,-78,-82,-82,-78,-78,-83,-83,-84,-100,-82,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,220,674,1655166480867
