b8:27:eb:9f:6b:77,38:17:c3:1f:0e:10,ea:9e:b4:53:24:54,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,80:8d:b7:55:35:03,38:17:c3:1f:01:91,80:8d:b7:55:39:d2,80:8d:b7:55:39:d0,80:8d:b7:55:39:d1,38:17:c3:1f:01:90,80:8d:b7:55:35:11,80:8d:b7:55:35:12,38:17:c3:1f:01:92,80:8d:b7:55:35:10,80:8d:b7:55:35:00,80:8d:b7:55:35:13,80:8d:b7:55:35:02,80:8d:b7:55:35:01,b0:be:76:f8:30:5e,38:17:c3:1f:01:80,38:17:c3:1f:01:81,38:17:c3:1f:01:82,80:8d:b7:55:3a:50,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,44:48:c1:a5:82:30,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,80:8d:b7:55:25:e3,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:39:c2,38:17:c3:19:d7:70,38:17:c3:19:d7:72,38:17:c3:19:d7:71,20:a6:cd:50:24:b2,44:48:c1:a5:82:20,44:48:c1:a5:82:21,44:48:c1:a5:82:22,20:a6:cd:50:24:b0,20:a6:cd:50:24:b1,ac:e2:d3:c4:08:e6,20:a6:cd:50:24:a2,38:17:c3:1e:ff:12,38:17:c3:1e:ff:10,38:17:c3:1e:ff:11,00:4e:35:df:06:51,00:4e:35:df:06:52,00:4e:35:df:06:50,38:17:c3:19:d7:62,60:32:b1:3e:1a:b7,38:17:c3:19:d7:60,b4:5d:50:e1:92:23,80:8d:b7:55:39:c1,80:8d:b7:55:25:e2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,72:32:b1:3e:1a:b7,66:2a:2f:53:7c:99,38:17:c3:19:d7:61,38:17:c3:19:45:b1,80:8d:b7:55:39:c0,38:17:c3:19:45:b2,38:17:c3:19:45:b0,00:4e:35:df:06:42,68:ff:7b:e4:af:39,80:8d:b7:55:3a:40,00:4e:35:df:06:40,00:4e:35:df:06:41,80:8d:b7:55:25:e1,60:32:b1:3e:1a:b8,38:17:c3:19:55:52,b4:5d:50:e1:92:33,00:4e:35:de:e1:12,80:8d:b7:55:25:e0,38:17:c3:19:55:51,38:17:c3:19:55:50,b4:5d:50:e1:96:53,b4:5d:50:e1:92:31,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:1f:22:30,38:17:c3:1f:22:32,38:17:c3:1f:09:93,38:17:c3:1f:09:90,00:4e:35:de:e1:10,00:4e:35:de:e1:11,38:17:c3:19:45:a0,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:21,38:17:c3:19:71:90,38:17:c3:19:45:a2,38:17:c3:19:45:a1,38:17:c3:1e:ff:00,20:a6:cd:42:0b:e3,a8:bd:27:4c:bd:30,38:17:c3:1f:09:83,38:17:c3:1e:ff:02,38:17:c3:19:55:40,38:17:c3:19:55:41,38:17:c3:19:55:42,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:1f:22:31,44:48:c1:91:95:b2,44:48:c1:91:95:b3,b4:5d:50:e1:92:20,38:17:c3:1e:ff:01,b4:5d:50:e1:92:22,00:4e:35:de:e1:00,38:17:c3:1f:08:50,00:4e:35:df:0e:12,68:ff:7b:e4:af:38,00:4e:35:de:e1:01,00:4e:35:de:e1:02,38:17:c3:1f:08:51,38:17:c3:1f:08:52,00:4e:35:de:d7:52,00:4e:35:de:d7:53,00:4e:35:de:d7:50,00:4e:35:de:d7:43,00:4e:35:de:d7:51,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:1f:22:20,38:17:c3:19:36:30,38:17:c3:1f:08:41,38:17:c3:1f:08:40,38:17:c3:1f:08:42,38:17:c3:1f:22:22,00:4e:35:df:0e:11,38:17:c3:19:71:81,38:17:c3:19:71:82,a8:bd:27:4c:bd:21,38:17:c3:1e:fc:b0,a8:bd:27:4c:bd:22,00:4e:35:df:0e:02,00:4e:35:df:0e:00,00:4e:35:df:0e:01,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,00:4e:35:df:0e:10,a8:bd:27:4c:bd:20,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:4f:10,38:17:c3:24:4f:01,38:17:c3:1f:0f:91,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:1f:0f:92,38:17:c3:1f:0f:90,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:1b:08:b0,00:4e:35:df:27:01,38:17:c3:19:71:80,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:de:d7:42,00:4e:35:de:d7:40,00:4e:35:de:d7:41,x,y,timestamp
-100,-100,-71,-100,-100,-100,-100,-100,-79,-87,-57,-57,-57,-87,-75,-76,-89,-84,-81,-76,-80,-80,-69,-100,-100,-100,-68,-68,-68,-50,-51,-52,-100,-100,-78,-100,-100,-100,-89,-100,-100,-88,-100,-100,-100,-89,-88,-87,-100,-100,-100,-100,-75,-75,-75,-100,-100,-89,-87,-100,-82,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-80,-85,-83,-100,-100,-100,-79,-79,-80,-100,-100,-100,-100,-84,-85,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,453,25168626333564
-40,-100,-67,-100,-100,-100,-80,-100,-100,-86,-61,-61,-61,-86,-75,-75,-87,-75,-82,-75,-84,-100,-68,-100,-100,-100,-68,-69,-68,-49,-52,-52,-87,-86,-100,-86,-86,-67,-89,-88,-87,-89,-60,-59,-59,-89,-88,-88,-100,-100,-100,-100,-75,-74,-76,-100,-100,-91,-100,-68,-100,-100,-100,-100,-78,-90,-87,-89,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-84,-79,-83,-88,-100,-80,-79,-100,-82,-83,-82,-100,-100,-100,-100,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,453,25171268238046
-38,-77,-67,-100,-100,-81,-83,-100,-76,-85,-60,-60,-61,-85,-73,-100,-86,-74,-81,-74,-81,-81,-69,-100,-100,-100,-67,-67,-68,-51,-50,-50,-91,-91,-100,-91,-100,-68,-90,-100,-100,-89,-57,-57,-57,-88,-88,-100,-100,-100,-100,-100,-76,-77,-100,-89,-100,-100,-86,-67,-100,-100,-100,-100,-100,-92,-90,-90,-100,-67,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-81,-87,-100,-100,-100,-100,-82,-81,-81,-93,-100,-100,-100,-87,-85,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-85,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-89,-90,-91,-100,-100,-91,-100,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,453,25173928705967
-39,-100,-68,-100,-100,-80,-80,-100,-100,-100,-60,-59,-60,-100,-73,-73,-100,-74,-81,-73,-81,-81,-56,-100,-100,-100,-67,-67,-67,-51,-54,-54,-85,-85,-100,-86,-86,-65,-90,-100,-90,-86,-62,-62,-61,-86,-87,-87,-100,-100,-100,-100,-100,-77,-78,-90,-100,-90,-100,-65,-100,-100,-100,-79,-79,-90,-88,-89,-100,-77,-100,-100,-82,-100,-79,-100,-100,-100,-84,-78,-82,-83,-100,-100,-100,-100,-82,-100,-83,-100,-100,-100,-100,-84,-83,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-87,-100,-100,-100,-89,-100,-89,-100,-91,-100,-93,-91,-90,-90,-100,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,453,25176623394725
-36,-100,-71,-100,-100,-100,-100,-100,-77,-88,-64,-65,-65,-87,-74,-74,-88,-74,-100,-73,-100,-81,-69,-100,-100,-100,-66,-67,-66,-49,-51,-52,-84,-84,-100,-84,-83,-63,-87,-90,-100,-87,-57,-57,-57,-87,-87,-100,-100,-100,-100,-100,-100,-100,-76,-89,-100,-100,-88,-63,-83,-100,-100,-100,-100,-90,-89,-88,-100,-62,-100,-100,-100,-100,-100,-100,-100,-84,-100,-79,-82,-90,-83,-100,-100,-100,-82,-82,-81,-100,-100,-100,-100,-100,-89,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-86,-85,-100,-100,-100,-100,-100,-91,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,453,25179030757725
-37,-72,-68,-72,-72,-100,-100,-100,-100,-100,-52,-52,-52,-100,-72,-72,-100,-72,-78,-72,-78,-78,-70,-100,-100,-100,-71,-71,-72,-53,-53,-54,-82,-81,-100,-82,-81,-100,-86,-85,-86,-86,-64,-64,-100,-88,-87,-86,-100,-100,-100,-100,-78,-77,-100,-84,-100,-87,-88,-100,-100,-100,-100,-77,-77,-100,-86,-85,-100,-100,-100,-100,-89,-85,-77,-100,-89,-100,-100,-84,-84,-83,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-88,-100,-100,-100,-88,-100,-88,-100,-89,-100,-100,-100,-100,-90,-91,-88,-88,-88,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,438,25231069508482
-39,-72,-68,-73,-74,-100,-100,-100,-100,-85,-54,-53,-53,-84,-100,-100,-85,-100,-77,-100,-76,-77,-70,-100,-100,-100,-72,-69,-69,-52,-53,-54,-83,-81,-100,-81,-81,-100,-100,-86,-87,-88,-65,-64,-65,-88,-87,-89,-100,-100,-100,-100,-77,-77,-77,-86,-100,-86,-85,-68,-100,-100,-100,-77,-77,-100,-88,-100,-100,-68,-100,-100,-100,-100,-77,-89,-88,-100,-85,-100,-83,-81,-100,-100,-100,-100,-84,-83,-84,-100,-100,-100,-100,-100,-81,-100,-100,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-88,-88,-90,-100,-100,-89,-89,-90,-89,-88,-89,-88,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,438,25233709885933
-38,-100,-67,-100,-100,-100,-100,-100,-75,-84,-53,-55,-55,-84,-72,-72,-84,-72,-76,-72,-75,-76,-69,-100,-100,-100,-71,-71,-71,-52,-53,-52,-83,-82,-84,-82,-82,-68,-86,-86,-86,-89,-61,-60,-60,-89,-100,-100,-100,-100,-100,-100,-77,-77,-100,-86,-100,-87,-100,-69,-86,-100,-100,-77,-77,-100,-87,-87,-100,-68,-100,-100,-89,-100,-100,-91,-91,-86,-100,-100,-82,-83,-87,-100,-100,-100,-83,-82,-82,-100,-100,-100,-100,-84,-83,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-87,-89,-92,-100,-100,-90,-100,-90,-90,-89,-90,-90,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,438,25236389624377
-37,-74,-58,-100,-76,-100,-100,-100,-76,-87,-55,-56,-56,-87,-72,-77,-89,-73,-78,-72,-78,-78,-71,-100,-100,-100,-67,-67,-67,-52,-53,-53,-80,-81,-100,-82,-81,-100,-100,-89,-88,-90,-62,-61,-62,-90,-88,-100,-100,-100,-100,-100,-76,-77,-77,-85,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-88,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-80,-82,-100,-100,-100,-100,-80,-78,-81,-100,-100,-100,-100,-82,-81,-100,-84,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-88,-91,-94,-100,-88,-88,-100,-90,-87,-89,-88,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,438,25239030769900
-41,-72,-69,-74,-73,-100,-100,-100,-100,-87,-53,-53,-54,-88,-73,-72,-88,-72,-76,-73,-76,-76,-68,-100,-100,-100,-72,-68,-69,-52,-53,-53,-80,-80,-85,-81,-80,-68,-88,-87,-88,-87,-63,-63,-62,-88,-88,-100,-100,-100,-100,-100,-77,-76,-76,-100,-100,-100,-85,-68,-86,-100,-100,-100,-77,-90,-85,-100,-100,-68,-100,-100,-87,-82,-100,-88,-87,-86,-85,-81,-80,-100,-86,-82,-100,-100,-80,-79,-81,-100,-100,-100,-100,-86,-84,-100,-100,-88,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-87,-100,-100,-100,-87,-100,-88,-90,-93,-92,-100,-90,-91,-88,-89,-88,-87,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,438,25241696480478
-37,-73,-69,-74,-100,-100,-100,-100,-78,-89,-54,-53,-53,-88,-72,-71,-89,-72,-76,-72,-76,-76,-74,-100,-100,-100,-72,-73,-72,-53,-55,-55,-80,-81,-100,-81,-81,-100,-86,-86,-87,-85,-65,-100,-100,-88,-87,-91,-100,-100,-100,-100,-75,-75,-75,-85,-100,-85,-100,-69,-100,-100,-100,-100,-100,-100,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-82,-81,-100,-79,-100,-100,-82,-83,-82,-100,-100,-100,-100,-81,-82,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-87,-100,-87,-89,-90,-100,-100,-89,-90,-89,-89,-88,-88,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,438,25244372174912
-33,-100,-65,-75,-100,-100,-100,-100,-100,-100,-66,-66,-67,-100,-80,-77,-100,-78,-81,-79,-100,-81,-74,-100,-100,-100,-64,-64,-64,-56,-58,-58,-85,-84,-100,-84,-84,-77,-100,-100,-100,-88,-65,-64,-64,-89,-100,-100,-100,-100,-100,-100,-77,-100,-76,-100,-100,-100,-100,-76,-100,-100,-100,-75,-75,-88,-85,-100,-100,-76,-100,-100,-85,-100,-74,-79,-85,-100,-100,-78,-82,-100,-100,-77,-100,-100,-83,-81,-82,-92,-100,-100,-100,-100,-100,-100,-86,-89,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-89,-94,-100,-92,-89,-100,-100,-100,-89,-88,-100,-100,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,423,25293414959224
-34,-75,-65,-76,-100,-100,-82,-100,-79,-100,-58,-58,-58,-100,-74,-74,-100,-74,-81,-74,-80,-81,-76,-100,-100,-100,-65,-65,-64,-56,-59,-59,-83,-83,-100,-85,-82,-69,-88,-89,-88,-100,-67,-66,-66,-100,-100,-100,-100,-100,-95,-100,-78,-78,-78,-100,-100,-100,-84,-69,-100,-100,-100,-76,-77,-90,-86,-100,-100,-69,-100,-100,-83,-100,-77,-84,-100,-100,-100,-77,-83,-81,-80,-80,-100,-100,-82,-83,-82,-92,-100,-100,-100,-81,-81,-100,-100,-100,-89,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-87,-89,-100,-100,-100,-100,-100,-89,-100,-100,-100,-89,-89,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,423,25296096327721
-34,-74,-64,-76,-76,-100,-100,-100,-100,-100,-59,-59,-60,-100,-74,-74,-100,-75,-81,-74,-80,-80,-73,-100,-100,-100,-66,-64,-65,-55,-58,-58,-85,-86,-76,-84,-85,-100,-88,-90,-89,-100,-68,-68,-100,-100,-100,-88,-100,-100,-100,-100,-77,-78,-78,-100,-89,-100,-85,-100,-100,-100,-100,-76,-76,-89,-86,-100,-100,-100,-100,-100,-83,-86,-76,-100,-83,-100,-100,-100,-83,-84,-80,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-90,-100,-100,-100,-100,-87,-87,-87,-100,-87,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,423,25298832198931
-32,-74,-65,-74,-73,-100,-100,-100,-100,-100,-59,-58,-58,-100,-74,-74,-100,-75,-80,-74,-79,-80,-73,-100,-100,-100,-70,-66,-69,-56,-58,-58,-84,-84,-74,-84,-85,-69,-88,-88,-88,-100,-63,-63,-63,-100,-100,-88,-100,-100,-94,-100,-75,-74,-75,-100,-88,-100,-86,-69,-78,-100,-100,-75,-75,-87,-88,-100,-100,-69,-100,-100,-83,-84,-75,-100,-100,-78,-100,-79,-81,-81,-78,-79,-100,-100,-81,-100,-100,-90,-100,-100,-100,-80,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-91,-91,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,423,25301512909146
-34,-100,-65,-100,-74,-100,-100,-100,-100,-84,-60,-60,-60,-85,-75,-75,-85,-76,-79,-75,-79,-80,-73,-100,-100,-100,-69,-66,-66,-56,-58,-59,-85,-86,-100,-86,-100,-100,-100,-100,-89,-100,-63,-62,-63,-100,-100,-84,-100,-100,-93,-100,-73,-75,-75,-100,-88,-100,-87,-100,-100,-100,-100,-100,-100,-88,-85,-93,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-86,-79,-81,-79,-79,-100,-100,-100,-81,-82,-82,-90,-89,-100,-100,-79,-79,-100,-83,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-85,-100,-100,-100,-100,-100,-100,-89,-93,-89,-91,-89,-100,-100,-100,-89,-88,-89,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,423,25304175567432
-32,-72,-65,-74,-75,-100,-100,-100,-100,-85,-58,-58,-58,-85,-74,-75,-84,-74,-80,-74,-79,-79,-72,-100,-100,-100,-68,-66,-65,-55,-58,-59,-86,-86,-73,-85,-85,-70,-89,-88,-86,-100,-65,-64,-65,-100,-100,-100,-100,-100,-92,-100,-75,-75,-75,-100,-88,-92,-100,-70,-78,-100,-100,-76,-76,-89,-86,-100,-100,-100,-100,-100,-83,-100,-100,-100,-82,-78,-100,-100,-81,-100,-78,-100,-100,-100,-81,-80,-81,-91,-100,-100,-100,-100,-100,-100,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-93,-100,-89,-100,-100,-100,-100,-100,-100,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,423,25306837204728
-39,-100,-69,-72,-72,-100,-100,-100,-100,-100,-64,-64,-64,-100,-76,-75,-100,-75,-84,-75,-84,-84,-71,-100,-100,-100,-65,-65,-65,-63,-61,-62,-80,-80,-100,-79,-80,-100,-85,-85,-85,-100,-72,-72,-72,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-87,-100,-100,-71,-100,-100,-100,-75,-74,-87,-87,-100,-100,-100,-100,-100,-82,-100,-74,-100,-82,-100,-100,-81,-81,-83,-100,-100,-100,-100,-81,-81,-82,-86,-86,-100,-100,-100,-100,-100,-84,-89,-100,-100,-100,-100,-100,-90,-100,-100,-100,-84,-100,-100,-100,-100,-100,-89,-88,-87,-100,-100,-90,-100,-91,-88,-100,-100,-89,-88,-87,-100,-100,-91,-90,-92,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,407,25377704638923
-35,-72,-67,-72,-71,-100,-100,-100,-74,-100,-65,-65,-65,-88,-76,-73,-100,-75,-82,-72,-100,-100,-70,-100,-100,-100,-65,-64,-64,-60,-64,-64,-79,-79,-79,-79,-80,-100,-86,-85,-86,-100,-100,-100,-100,-89,-100,-92,-100,-100,-100,-100,-100,-78,-79,-100,-87,-100,-100,-100,-79,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-81,-83,-81,-81,-79,-100,-100,-100,-81,-82,-81,-88,-87,-100,-100,-80,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-89,-100,-89,-82,-100,-100,-88,-87,-87,-90,-89,-86,-87,-87,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,407,25380367153720
-36,-73,-54,-71,-70,-100,-100,-100,-80,-100,-62,-62,-61,-100,-75,-75,-100,-75,-82,-74,-82,-82,-69,-100,-100,-100,-62,-62,-61,-61,-63,-63,-81,-80,-100,-80,-80,-71,-86,-85,-87,-100,-69,-100,-100,-92,-100,-100,-100,-100,-100,-100,-78,-78,-78,-100,-100,-100,-84,-70,-100,-100,-100,-77,-76,-87,-86,-100,-100,-72,-100,-100,-84,-100,-76,-100,-100,-100,-85,-80,-82,-83,-100,-79,-100,-100,-83,-82,-100,-87,-84,-100,-100,-84,-83,-100,-86,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-85,-100,-100,-91,-100,-92,-100,-91,-100,-89,-100,-100,-100,-100,-87,-86,-85,-89,-86,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,264,407,25383131493214
