b8:27:eb:9f:6b:77,80:8d:b7:55:3a:42,b0:be:76:f8:30:5e,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,44:48:c1:a5:82:32,44:48:c1:a5:82:31,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:35:11,ea:9e:b4:53:24:54,80:8d:b7:55:35:03,38:17:c3:1f:0e:11,80:8d:b7:55:35:02,80:8d:b7:55:35:01,b4:5d:50:e1:92:33,80:8d:b7:55:25:f0,00:4e:35:df:06:52,80:8d:b7:55:39:d0,44:48:c1:a5:82:30,80:8d:b7:55:35:10,80:8d:b7:55:39:c0,38:17:c3:19:d7:70,38:17:c3:1f:0e:12,38:17:c3:19:d7:62,38:17:c3:19:d7:61,20:a6:cd:50:24:b2,ac:e2:d3:c4:08:e6,38:17:c3:1f:01:91,38:17:c3:1f:0e:10,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:01:92,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:19:d7:72,38:17:c3:19:d7:71,20:a6:cd:50:24:b1,38:17:c3:19:45:b2,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,80:8d:b7:55:35:00,38:17:c3:1e:ff:10,20:a6:cd:50:24:b0,38:17:c3:1f:01:81,80:8d:b7:55:39:c2,80:8d:b7:55:25:e3,80:8d:b7:55:3a:41,00:4e:35:df:06:51,00:4e:35:df:06:40,80:8d:b7:55:3a:40,00:4e:35:df:06:42,66:2a:2f:53:7c:99,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,38:17:c3:19:45:a1,00:4e:35:df:06:41,38:17:c3:1f:09:83,80:8d:b7:55:3a:50,80:8d:b7:55:25:e0,38:17:c3:19:45:a0,80:8d:b7:55:39:c1,72:32:b1:3e:1a:b7,68:ff:7b:e4:af:38,60:32:b1:3e:1a:b8,38:17:c3:19:45:a2,38:17:c3:19:45:b1,b4:5d:50:e1:92:23,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,38:17:c3:19:45:b0,38:17:c3:1f:09:90,20:a6:cd:50:24:a0,38:17:c3:19:55:50,38:17:c3:1f:01:82,60:32:b1:3e:1a:b7,44:48:c1:a5:82:22,44:48:c1:a5:82:21,00:4e:35:df:06:50,b4:5d:50:e1:92:22,72:32:b1:3e:1a:b8,38:17:c3:1f:01:80,38:17:c3:19:d7:60,44:48:c1:a5:82:20,38:17:c3:1e:ff:00,00:4e:35:de:e1:12,b4:5d:50:e1:92:31,b4:5d:50:e1:92:21,38:17:c3:1f:09:93,b4:5d:50:e1:96:43,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,68:ff:7b:e4:af:39,b4:5d:50:e1:96:53,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:19:55:40,b4:5d:50:e1:96:50,38:17:c3:1f:22:31,38:17:c3:19:55:51,b4:5d:50:e1:92:20,38:17:c3:19:55:52,00:4e:35:de:e1:10,38:17:c3:1f:22:30,b4:5d:50:e1:96:52,00:4e:35:de:e1:11,b4:5d:50:e1:96:51,20:a6:cd:42:0b:e3,38:17:c3:19:71:90,38:17:c3:1f:22:32,38:17:c3:19:71:92,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:1f:22:21,38:17:c3:1f:22:22,00:4e:35:de:e1:00,00:4e:35:de:e1:01,00:4e:35:de:e1:02,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:30,38:17:c3:1f:08:50,44:48:c1:91:95:b2,9c:d6:43:60:92:e0,38:17:c3:1f:08:51,44:48:c1:91:95:b3,44:48:c1:91:95:b0,00:4e:35:de:d7:53,00:4e:35:de:d7:52,44:48:c1:91:95:b1,00:4e:35:de:d7:50,00:4e:35:de:d7:51,38:17:c3:1f:08:42,38:17:c3:1f:08:40,00:4e:35:df:0e:12,38:17:c3:1f:08:41,38:17:c3:1f:22:20,a8:bd:27:4c:bd:32,00:4e:35:de:d7:43,00:4e:35:de:d7:40,38:17:c3:19:71:80,00:4e:35:de:d7:42,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:19:71:91,38:17:c3:19:71:82,38:17:c3:19:71:81,00:4e:35:de:d7:41,38:17:c3:1f:08:52,38:17:c3:19:36:30,38:17:c3:19:36:32,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:1e:fc:b0,00:4e:35:df:0e:01,00:4e:35:df:0e:02,00:4e:35:df:0e:00,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:4f:12,00:4e:35:df:27:01,38:17:c3:24:4f:10,00:4e:35:df:27:02,38:17:c3:24:4f:11,38:17:c3:24:58:a2,00:4e:35:df:27:00,38:17:c3:24:4f:00,38:17:c3:24:4f:02,38:17:c3:24:4f:01,38:17:c3:24:58:a1,38:17:c3:1b:08:a1,38:17:c3:1b:08:a0,38:17:c3:24:58:a0,32:f7:72:50:57:3b,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,38:17:c3:1b:08:b0,38:17:c3:1b:08:a2,x,y,timestamp
-37,-69,-44,-73,-74,-74,-77,-77,-87,-88,-80,-81,-81,-77,-100,-81,-100,-100,-100,-74,-57,-77,-87,-80,-81,-100,-82,-91,-100,-100,-89,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-74,-70,-57,-58,-70,-58,-93,-70,-70,-77,-77,-100,-58,-100,-70,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-82,-82,-57,-100,-100,-100,-100,-83,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-68,-68,-68,-100,-100,-63,-100,-64,-73,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-79,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,48,28988169757272
-37,-70,-43,-74,-73,-73,-77,-77,-88,-86,-80,-81,-81,-82,-100,-82,-100,-100,-100,-73,-58,-77,-87,-80,-81,-100,-81,-91,-100,-100,-93,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-75,-70,-58,-58,-71,-58,-91,-71,-71,-77,-77,-100,-58,-100,-71,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-82,-83,-58,-100,-100,-100,-100,-82,-100,-73,-100,-100,-100,-100,-100,-100,-85,-100,-68,-67,-71,-100,-100,-63,-100,-63,-74,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-71,-70,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-79,-93,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-81,-81,-100,-77,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,48,28993420343051
-37,-70,-43,-73,-73,-73,-77,-77,-87,-87,-81,-81,-80,-82,-88,-82,-84,-81,-100,-74,-57,-77,-86,-80,-81,-100,-81,-100,-100,-100,-93,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-81,-75,-70,-57,-58,-71,-58,-91,-70,-70,-77,-77,-100,-58,-100,-70,-77,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-82,-83,-57,-100,-100,-100,-100,-83,-100,-74,-100,-100,-100,-100,-100,-100,-85,-100,-68,-67,-71,-100,-100,-64,-100,-64,-73,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-72,-72,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-79,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-83,-81,-100,-77,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,48,28998786152893
-38,-72,-44,-74,-74,-74,-77,-77,-87,-87,-83,-84,-83,-81,-88,-100,-84,-87,-100,-74,-56,-77,-86,-84,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-81,-73,-72,-56,-57,-72,-57,-100,-70,-69,-100,-100,-100,-57,-100,-70,-78,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-82,-82,-56,-100,-100,-100,-100,-82,-100,-76,-100,-100,-100,-100,-100,-100,-85,-100,-69,-100,-100,-100,-100,-64,-100,-64,-77,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-73,-73,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-79,-100,-100,-100,-100,-100,-72,-72,-100,-100,-100,-100,-100,-100,-100,-81,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,48,29004452040234
-37,-72,-44,-73,-74,-73,-77,-77,-85,-86,-80,-80,-80,-84,-87,-85,-84,-87,-100,-74,-57,-77,-86,-80,-100,-100,-85,-100,-100,-100,-89,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-73,-72,-57,-58,-72,-58,-92,-70,-70,-100,-100,-100,-58,-100,-70,-78,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-84,-84,-57,-100,-100,-100,-100,-84,-100,-76,-100,-100,-100,-100,-100,-100,-85,-100,-69,-69,-100,-100,-100,-63,-100,-63,-76,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-72,-71,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-72,-72,-100,-100,-100,-100,-100,-100,-100,-81,-80,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,48,29009884753878
-37,-100,-43,-74,-75,-74,-77,-77,-88,-88,-80,-80,-80,-79,-85,-85,-85,-100,-100,-75,-57,-78,-88,-80,-80,-100,-85,-100,-100,-100,-92,-100,-86,-100,-100,-100,-100,-100,-88,-86,-100,-100,-100,-100,-86,-100,-100,-100,-81,-73,-100,-57,-58,-100,-58,-90,-69,-69,-100,-100,-100,-58,-100,-70,-76,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-82,-81,-57,-100,-100,-100,-100,-86,-100,-75,-100,-100,-100,-100,-100,-100,-83,-100,-100,-68,-68,-100,-100,-63,-100,-63,-75,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-72,-72,-81,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-80,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-81,-76,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,48,29015379369709
-37,-71,-52,-73,-74,-73,-100,-100,-82,-82,-82,-83,-82,-76,-83,-82,-86,-86,-100,-74,-62,-100,-82,-83,-100,-85,-83,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-84,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-71,-62,-64,-71,-64,-90,-69,-69,-83,-82,-100,-62,-100,-70,-83,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-84,-85,-61,-100,-100,-100,-100,-88,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-67,-100,-100,-72,-100,-72,-73,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-72,-72,-72,-100,-100,-100,-100,-100,-100,-100,-87,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,30,29044682763188
-40,-71,-51,-73,-73,-73,-78,-78,-82,-82,-84,-84,-83,-75,-89,-82,-89,-86,-100,-73,-62,-78,-82,-84,-75,-85,-82,-100,-100,-100,-91,-100,-82,-100,-100,-100,-100,-100,-84,-86,-100,-100,-86,-100,-89,-100,-100,-100,-75,-79,-71,-62,-63,-70,-63,-90,-72,-72,-81,-82,-100,-64,-100,-72,-81,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-85,-85,-62,-100,-100,-100,-100,-84,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-67,-100,-100,-70,-100,-70,-73,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-72,-72,-72,-100,-100,-100,-100,-100,-100,-100,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,30,29050092391102
-37,-72,-52,-72,-73,-73,-78,-79,-85,-84,-84,-84,-83,-80,-89,-82,-89,-100,-100,-73,-63,-79,-84,-84,-75,-85,-82,-100,-100,-100,-91,-100,-82,-85,-84,-100,-100,-100,-100,-86,-100,-100,-85,-100,-89,-100,-100,-100,-75,-74,-72,-63,-67,-70,-66,-90,-71,-71,-81,-100,-100,-66,-100,-71,-80,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-85,-100,-63,-100,-100,-100,-100,-84,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-69,-100,-69,-76,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-79,-78,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-73,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-88,-86,-100,-100,-100,-100,-89,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,30,29055543898548
-41,-72,-52,-72,-72,-72,-83,-83,-87,-87,-82,-81,-81,-81,-88,-100,-100,-100,-100,-72,-59,-82,-87,-82,-81,-86,-100,-90,-100,-100,-100,-100,-100,-85,-83,-100,-100,-100,-85,-86,-100,-100,-85,-100,-100,-100,-100,-100,-81,-80,-72,-59,-64,-71,-64,-89,-69,-70,-100,-80,-100,-64,-100,-70,-80,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-59,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-72,-72,-72,-100,-100,-71,-100,-70,-71,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-80,-80,-72,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-72,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-89,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,30,29061147497556
-39,-71,-52,-73,-74,-73,-77,-77,-82,-82,-80,-81,-80,-75,-85,-100,-100,-100,-100,-74,-60,-77,-82,-81,-81,-85,-100,-90,-100,-100,-100,-100,-100,-85,-83,-100,-100,-100,-86,-87,-100,-100,-85,-100,-100,-100,-100,-100,-81,-80,-70,-60,-64,-69,-63,-90,-70,-71,-100,-80,-100,-63,-100,-71,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-85,-85,-60,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-69,-70,-70,-100,-100,-70,-100,-70,-76,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-76,-76,-72,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,30,29066514463596
-38,-71,-51,-75,-75,-75,-83,-83,-86,-86,-85,-85,-86,-82,-85,-100,-100,-100,-100,-75,-61,-83,-87,-85,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-73,-61,-65,-73,-65,-88,-72,-72,-100,-100,-100,-65,-100,-72,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-88,-85,-61,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-69,-70,-70,-100,-100,-71,-100,-70,-75,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-76,-76,-72,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-88,-100,-100,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,30,29071928960157
-35,-73,-44,-81,-81,-81,-82,-82,-85,-85,-100,-82,-82,-79,-100,-100,-100,-100,-100,-81,-62,-82,-85,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-74,-63,-57,-74,-71,-90,-73,-73,-100,-100,-100,-71,-100,-74,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-86,-100,-62,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-88,-100,-72,-100,-72,-100,-100,-75,-100,-75,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-82,-72,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-72,-100,-100,-100,-100,-67,-67,-68,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,12,29100586169156
-36,-73,-45,-80,-80,-79,-85,-83,-87,-86,-81,-81,-80,-80,-84,-86,-100,-100,-100,-80,-68,-84,-86,-80,-100,-100,-86,-100,-100,-100,-88,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-79,-74,-68,-70,-76,-69,-88,-75,-75,-79,-79,-100,-69,-100,-76,-79,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-85,-86,-68,-100,-100,-100,-100,-85,-100,-76,-100,-100,-100,-100,-100,-100,-86,-100,-76,-75,-75,-100,-100,-76,-100,-76,-77,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-83,-71,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-71,-100,-100,-100,-100,-68,-67,-68,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,12,29105776587904
-36,-77,-44,-80,-81,-80,-83,-84,-84,-84,-81,-82,-82,-78,-84,-86,-100,-100,-100,-80,-63,-84,-84,-81,-100,-100,-86,-100,-100,-100,-90,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-78,-77,-64,-72,-76,-72,-88,-75,-75,-79,-79,-100,-72,-100,-76,-79,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-84,-84,-64,-100,-100,-100,-100,-82,-100,-83,-100,-100,-100,-100,-100,-100,-86,-100,-76,-75,-75,-100,-100,-75,-100,-75,-82,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-83,-83,-72,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-72,-100,-100,-100,-100,-68,-67,-68,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,12,29111181432537
-35,-75,-44,-80,-80,-80,-85,-86,-86,-86,-81,-81,-82,-78,-90,-100,-100,-100,-100,-80,-64,-85,-87,-82,-88,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-80,-75,-64,-67,-75,-67,-100,-74,-74,-100,-100,-100,-67,-100,-74,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-84,-84,-64,-100,-100,-100,-100,-88,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-74,-75,-74,-100,-100,-72,-100,-72,-83,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-81,-77,-72,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-72,-100,-100,-100,-100,-67,-67,-68,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,12,29116723841702
-34,-76,-40,-81,-82,-82,-84,-84,-87,-86,-84,-84,-83,-74,-90,-100,-100,-100,-100,-82,-65,-84,-86,-84,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-76,-65,-70,-76,-70,-91,-73,-73,-100,-100,-100,-70,-100,-73,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-65,-100,-100,-100,-100,-83,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-74,-75,-74,-100,-100,-75,-100,-75,-83,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-82,-71,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-71,-100,-100,-100,-100,-67,-69,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,12,29122115936544
-32,-75,-45,-80,-80,-81,-84,-82,-86,-87,-87,-86,-86,-76,-85,-86,-100,-100,-100,-80,-70,-83,-87,-88,-82,-100,-87,-100,-100,-100,-89,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-78,-76,-70,-68,-75,-68,-91,-73,-73,-81,-81,-100,-68,-100,-73,-75,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-86,-86,-70,-100,-100,-100,-100,-85,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-76,-76,-76,-100,-100,-76,-100,-76,-82,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-75,-71,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-70,-100,-100,-100,-100,-67,-69,-68,-100,-100,-100,-100,-100,-100,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,12,29127419653573
-41,-75,-39,-100,-100,-100,-79,-79,-90,-90,-84,-100,-84,-79,-100,-86,-100,-100,-100,-100,-71,-79,-90,-85,-100,-100,-86,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-75,-71,-74,-75,-74,-89,-71,-72,-87,-100,-100,-74,-100,-72,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-88,-88,-71,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-72,-79,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-81,-82,-66,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,-5,29184212050635
