38:17:c3:1f:00:b0,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,38:17:c3:1f:00:a1,44:48:c1:91:d0:14,20:a6:cd:42:0a:c3,44:48:c1:91:d0:04,20:a6:cd:42:0a:c1,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,44:48:c1:91:d0:12,44:48:c1:91:d0:10,b4:5d:50:e1:96:53,38:17:c3:1f:09:91,38:17:c3:24:47:52,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:24:47:51,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,38:17:c3:1f:14:11,38:17:c3:1f:14:12,44:48:c1:91:95:a3,38:17:c3:1f:00:a0,44:48:c1:91:d0:11,b4:5d:50:e1:96:50,38:17:c3:1f:09:90,38:17:c3:24:47:50,38:17:c3:1f:19:d0,38:17:c3:1f:14:10,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:1f:14:02,38:17:c3:1f:14:01,a8:bd:27:4c:aa:93,38:17:c3:19:45:b0,38:17:c3:1f:00:a2,b4:5d:50:e1:96:41,a8:bd:27:4c:aa:81,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:83,b4:5d:50:e1:96:40,a8:bd:27:4c:aa:80,44:48:c1:91:95:a2,44:48:c1:91:d0:00,44:48:c1:91:d0:02,44:48:c1:91:d0:01,38:17:c3:1f:14:00,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,b4:5d:50:e1:96:43,44:48:c1:91:95:b1,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:92,44:48:c1:91:95:b3,44:48:c1:91:95:b0,38:17:c3:19:45:a2,20:a6:cd:42:0a:d2,44:48:c1:91:95:b2,a8:bd:27:4c:aa:90,38:17:c3:1f:09:80,38:17:c3:19:45:a0,20:a6:cd:42:0a:c0,b4:5d:50:e1:96:42,44:48:c1:91:95:a1,20:a6:cd:42:0a:c2,38:17:c3:22:61:90,66:2a:2f:53:7c:99,38:17:c3:1f:09:81,38:17:c3:1f:09:83,38:17:c3:19:45:a1,38:17:c3:19:d7:71,38:17:c3:19:d7:70,38:17:c3:1f:09:82,20:a6:cd:42:0b:e3,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:62,38:17:c3:19:d7:61,20:a6:cd:42:0b:e0,38:17:c3:19:d7:60,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,38:17:c3:19:d7:72,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,80:8d:b7:55:25:e3,38:17:c3:19:36:30,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:35:03,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,38:17:c3:1e:ff:10,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:3a:50,80:8d:b7:55:35:10,80:8d:b7:55:35:12,38:17:c3:1e:ff:12,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:39:d0,68:ff:7b:e4:af:39,b0:be:76:f8:30:5e,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,38:17:c3:19:71:92,38:17:c3:19:36:32,38:17:c3:19:71:91,38:17:c3:19:36:31,ea:9e:b4:53:24:54,20:a6:cd:50:24:a2,38:17:c3:19:71:90,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,80:8d:b7:55:39:d1,38:17:c3:1e:ff:11,38:17:c3:1f:22:30,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,80:8d:b7:55:39:c1,38:17:c3:1e:ff:01,80:8d:b7:55:29:d0,80:8d:b7:55:39:c0,80:8d:b7:55:39:c2,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,80:8d:b7:55:29:c0,68:ff:7b:e4:af:38,00:4e:35:df:06:52,80:8d:b7:55:39:d2,20:a6:cd:50:24:b0,00:4e:35:de:e1:12,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,00:4e:35:df:06:40,38:17:c3:1f:0e:10,38:17:c3:1f:22:31,38:17:c3:1f:22:32,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:0e:02,38:17:c3:1f:22:20,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,00:4e:35:df:06:42,00:4e:35:de:e1:10,00:4e:35:df:06:41,38:17:c3:22:5e:f0,80:8d:b7:55:4d:01,00:4e:35:df:06:51,80:8d:b7:55:4d:02,38:17:c3:1f:08:50,00:4e:35:df:06:50,80:8d:b7:55:4d:00,80:8d:b7:55:4d:10,00:4e:35:de:e1:11,38:17:c3:22:61:92,38:17:c3:22:61:91,80:8d:b7:55:4d:12,38:17:c3:19:71:80,22:ad:56:24:6b:8b,38:17:c3:19:71:82,f0:ab:54:14:10:2c,38:17:c3:19:71:81,b4:5d:50:e1:92:23,80:3f:5d:c5:f8:e4,80:8d:b7:55:4d:11,x,y,label
-66,-66,-66,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-100,-72,-100,-100,-100,-100,-100,-85,-74,-74,-95,-98,-100,-75,-74,-100,-95,-95,-93,-100,-95,-100,-100,-100,-100,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-88,-100,-97,-76,-70,-70,-100,-66,-100,-100,-100,-60,-72,-74,-71,-77,-71,-71,-70,-73,-72,-73,-73,-85,-98,-87,-87,-86,-87,-87,-99,-100,-100,-98,-85,-83,-89,-85,-84,-85,-89,-97,-89,-89,-89,-96,-94,-94,-94,-94,-92,-98,-98,-98,-98,-98,-100,-100,-100,-100,-100,-98,-99,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-100,-100,-95,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-93,-100,622,124,24
-65,-65,-65,-83,-100,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-97,-100,-79,-100,-100,-100,-100,-100,-94,-76,-76,-98,-100,-100,-76,-82,-100,-100,-100,-98,-100,-100,-100,-100,-100,-100,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-80,-100,-96,-81,-64,-65,-100,-79,-100,-100,-100,-64,-71,-86,-88,-70,-88,-88,-65,-83,-83,-83,-84,-79,-88,-79,-79,-81,-79,-79,-87,-87,-91,-97,-82,-82,-83,-83,-83,-84,-84,-94,-87,-88,-89,-93,-98,-83,-92,-89,-93,-87,-86,-87,-86,-87,-96,-90,-96,-97,-98,-89,-93,-91,-96,-97,-98,-98,-97,-98,-99,-99,-98,-98,-98,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-90,-100,-100,-86,-100,-100,-97,-100,-100,-100,-95,-100,-96,-100,-96,-100,-97,-100,639,124,25
-64,-64,-64,-83,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-100,-79,-100,-100,-100,-100,-100,-96,-75,-75,-99,-100,-100,-75,-81,-100,-100,-100,-99,-100,-100,-100,-100,-100,-100,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-80,-100,-96,-80,-64,-64,-100,-79,-100,-100,-100,-64,-71,-85,-87,-71,-87,-86,-64,-84,-84,-84,-85,-78,-88,-80,-81,-82,-80,-80,-86,-86,-89,-96,-82,-82,-84,-84,-82,-84,-84,-91,-88,-88,-87,-93,-97,-85,-93,-89,-93,-86,-86,-87,-86,-87,-97,-90,-97,-98,-98,-87,-94,-91,-95,-96,-97,-98,-96,-98,-99,-99,-97,-97,-97,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-90,-100,-100,-86,-100,-100,-95,-100,-100,-100,-97,-100,-97,-100,-98,-100,-100,-100,639,124,25
-65,-65,-65,-83,-100,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-97,-100,-79,-100,-100,-100,-100,-100,-94,-76,-76,-98,-100,-100,-76,-82,-100,-100,-100,-98,-100,-100,-100,-100,-100,-100,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-80,-100,-96,-81,-64,-65,-100,-79,-100,-100,-100,-64,-71,-86,-88,-70,-88,-88,-65,-83,-83,-83,-84,-79,-88,-79,-79,-81,-79,-79,-87,-87,-91,-97,-82,-82,-83,-83,-83,-84,-84,-94,-87,-88,-89,-93,-98,-83,-92,-89,-93,-87,-86,-87,-86,-87,-96,-90,-96,-97,-98,-89,-93,-91,-96,-97,-98,-98,-97,-98,-99,-99,-98,-98,-98,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-90,-100,-100,-86,-100,-100,-97,-100,-100,-100,-95,-100,-96,-100,-96,-100,-97,-100,639,124,25
-65,-65,-65,-83,-100,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-97,-100,-79,-100,-100,-100,-100,-100,-94,-76,-76,-98,-100,-100,-76,-82,-100,-100,-100,-98,-100,-100,-100,-100,-100,-100,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-80,-100,-96,-81,-64,-65,-100,-79,-100,-100,-100,-64,-71,-86,-88,-70,-88,-88,-65,-83,-83,-83,-84,-79,-88,-79,-79,-81,-79,-79,-87,-87,-91,-97,-82,-82,-83,-83,-83,-84,-84,-94,-87,-88,-89,-93,-98,-83,-92,-89,-93,-87,-86,-87,-86,-87,-96,-90,-96,-97,-98,-89,-93,-91,-96,-97,-98,-98,-97,-98,-99,-99,-98,-98,-98,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-90,-100,-100,-86,-100,-100,-97,-100,-100,-100,-95,-100,-96,-100,-96,-100,-97,-100,639,124,25
-65,-65,-65,-83,-100,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-97,-97,-100,-79,-100,-100,-100,-100,-100,-94,-76,-76,-98,-100,-100,-76,-82,-100,-100,-100,-98,-100,-100,-100,-100,-100,-100,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-80,-100,-96,-81,-64,-65,-100,-79,-100,-100,-100,-64,-71,-86,-88,-70,-88,-88,-65,-83,-83,-83,-84,-79,-88,-79,-79,-81,-79,-79,-87,-87,-91,-97,-82,-82,-83,-83,-83,-84,-84,-94,-87,-88,-89,-93,-98,-83,-92,-89,-93,-87,-86,-87,-86,-87,-96,-90,-96,-97,-98,-89,-93,-91,-96,-97,-98,-98,-97,-98,-99,-99,-98,-98,-98,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-90,-100,-100,-86,-100,-100,-97,-100,-100,-100,-95,-100,-96,-100,-96,-100,-97,-100,639,124,25
-64,-64,-64,-83,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-100,-79,-100,-100,-100,-100,-100,-96,-75,-75,-99,-100,-100,-75,-81,-100,-100,-100,-99,-100,-100,-100,-100,-100,-100,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-80,-100,-96,-80,-64,-64,-100,-79,-100,-100,-100,-64,-71,-85,-87,-71,-87,-86,-64,-84,-84,-84,-85,-78,-88,-80,-81,-82,-80,-80,-86,-86,-89,-96,-82,-82,-84,-84,-82,-84,-84,-91,-88,-88,-87,-93,-97,-85,-93,-89,-93,-86,-86,-87,-86,-87,-97,-90,-97,-98,-98,-87,-94,-91,-95,-96,-97,-98,-96,-98,-99,-99,-97,-97,-97,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-90,-100,-100,-86,-100,-100,-95,-100,-100,-100,-97,-100,-97,-100,-98,-100,-100,-100,639,124,25
-63,-63,-63,-83,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-96,-75,-75,-100,-100,-100,-75,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-80,-100,-96,-79,-63,-63,-100,-79,-100,-100,-100,-64,-71,-85,-86,-71,-86,-86,-63,-84,-84,-84,-85,-78,-87,-81,-82,-82,-81,-81,-86,-86,-89,-96,-82,-82,-84,-84,-82,-84,-84,-90,-88,-88,-87,-93,-97,-85,-94,-89,-93,-86,-85,-86,-85,-87,-97,-89,-97,-98,-98,-86,-94,-91,-95,-96,-97,-97,-96,-98,-99,-99,-97,-97,-97,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-90,-100,-100,-86,-100,-100,-95,-100,-100,-100,-97,-100,-97,-100,-98,-100,-100,-100,656,124,26
-63,-63,-63,-83,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-96,-75,-75,-100,-100,-100,-75,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-81,-100,-96,-79,-63,-63,-100,-79,-100,-100,-100,-64,-71,-84,-86,-71,-86,-86,-64,-84,-84,-84,-85,-78,-87,-80,-81,-82,-81,-81,-86,-86,-89,-96,-82,-82,-84,-84,-82,-84,-84,-91,-88,-88,-86,-93,-97,-86,-93,-88,-92,-85,-85,-86,-85,-87,-97,-89,-97,-98,-98,-87,-94,-91,-95,-95,-97,-98,-95,-98,-99,-99,-97,-97,-97,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-90,-100,-100,-86,-100,-100,-94,-100,-100,-100,-97,-100,-97,-100,-98,-100,-100,-100,656,124,26
-63,-63,-63,-83,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-96,-75,-75,-100,-100,-100,-75,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-81,-100,-96,-79,-63,-63,-100,-79,-100,-100,-100,-64,-71,-84,-86,-71,-86,-86,-64,-84,-84,-84,-85,-78,-87,-80,-81,-82,-81,-81,-86,-86,-89,-96,-82,-82,-84,-84,-82,-84,-84,-91,-88,-88,-86,-93,-97,-86,-93,-88,-92,-85,-85,-86,-85,-87,-97,-89,-97,-98,-98,-87,-94,-91,-95,-95,-97,-98,-95,-98,-99,-99,-97,-97,-97,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-90,-100,-100,-86,-100,-100,-94,-100,-100,-100,-97,-100,-97,-100,-98,-100,-100,-100,656,124,26
-63,-63,-63,-83,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-96,-75,-75,-100,-100,-100,-75,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-81,-100,-96,-79,-63,-63,-100,-79,-100,-100,-100,-64,-71,-84,-86,-71,-86,-86,-64,-84,-84,-84,-85,-78,-87,-80,-81,-82,-81,-81,-86,-86,-89,-96,-82,-82,-84,-84,-82,-84,-84,-91,-88,-88,-86,-93,-97,-86,-93,-88,-92,-85,-85,-86,-85,-87,-97,-89,-97,-98,-98,-87,-94,-91,-95,-95,-97,-98,-95,-98,-99,-99,-97,-97,-97,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-90,-100,-100,-86,-100,-100,-94,-100,-100,-100,-97,-100,-97,-100,-98,-100,-100,-100,656,124,26
-63,-63,-63,-83,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-96,-75,-75,-100,-100,-100,-75,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-81,-100,-96,-79,-63,-63,-100,-79,-100,-100,-100,-64,-71,-84,-86,-71,-86,-86,-64,-84,-84,-84,-85,-78,-87,-80,-81,-82,-81,-81,-86,-86,-89,-96,-82,-82,-84,-84,-82,-84,-84,-91,-88,-88,-86,-93,-97,-86,-93,-88,-92,-85,-85,-86,-85,-87,-97,-89,-97,-98,-98,-87,-94,-91,-95,-95,-97,-98,-95,-98,-99,-99,-97,-97,-97,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-90,-100,-100,-86,-100,-100,-94,-100,-100,-100,-97,-100,-97,-100,-98,-100,-100,-100,656,124,26
-63,-63,-63,-83,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-96,-75,-75,-100,-100,-100,-75,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-81,-100,-96,-79,-63,-63,-100,-79,-100,-100,-100,-64,-71,-84,-86,-71,-86,-86,-64,-84,-84,-84,-85,-78,-87,-80,-81,-82,-81,-81,-86,-86,-89,-96,-82,-82,-84,-84,-82,-84,-84,-91,-88,-88,-86,-93,-97,-86,-93,-88,-92,-85,-85,-86,-85,-87,-97,-89,-97,-98,-98,-87,-94,-91,-95,-95,-97,-98,-95,-98,-99,-99,-97,-97,-97,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-90,-100,-100,-86,-100,-100,-94,-100,-100,-100,-97,-100,-97,-100,-98,-100,-100,-100,656,124,26
-63,-63,-63,-83,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-96,-75,-75,-100,-100,-100,-75,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-80,-100,-96,-79,-63,-63,-100,-79,-100,-100,-100,-64,-71,-85,-86,-71,-86,-86,-63,-84,-84,-84,-85,-78,-87,-81,-82,-82,-81,-81,-86,-86,-89,-96,-82,-82,-84,-84,-82,-84,-84,-90,-88,-88,-87,-93,-97,-85,-94,-89,-93,-86,-85,-86,-85,-87,-97,-89,-97,-98,-98,-86,-94,-91,-95,-96,-97,-97,-96,-98,-99,-99,-97,-97,-97,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-90,-100,-100,-86,-100,-100,-95,-100,-100,-100,-97,-100,-97,-100,-98,-100,-100,-100,673,124,27
-63,-63,-63,-83,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-96,-75,-75,-100,-100,-100,-75,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-80,-100,-96,-79,-63,-63,-100,-79,-100,-100,-100,-64,-71,-85,-86,-71,-86,-86,-63,-84,-84,-84,-85,-78,-87,-81,-82,-82,-81,-81,-86,-86,-89,-96,-82,-82,-84,-84,-82,-84,-84,-90,-88,-88,-87,-93,-97,-85,-94,-89,-93,-86,-85,-86,-85,-87,-97,-89,-97,-98,-98,-86,-94,-91,-95,-96,-97,-97,-96,-98,-99,-99,-97,-97,-97,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-90,-100,-100,-86,-100,-100,-95,-100,-100,-100,-97,-100,-97,-100,-98,-100,-100,-100,673,124,27
-63,-63,-63,-83,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-96,-75,-75,-100,-100,-100,-75,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-81,-100,-96,-79,-63,-63,-100,-79,-100,-100,-100,-64,-71,-84,-86,-71,-86,-86,-64,-84,-84,-84,-85,-78,-87,-80,-81,-82,-81,-81,-86,-86,-89,-96,-82,-82,-84,-84,-82,-84,-84,-91,-88,-88,-86,-93,-97,-86,-93,-88,-92,-85,-85,-86,-85,-87,-97,-89,-97,-98,-98,-87,-94,-91,-95,-95,-97,-98,-95,-98,-99,-99,-97,-97,-97,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-90,-100,-100,-86,-100,-100,-94,-100,-100,-100,-97,-100,-97,-100,-98,-100,-100,-100,673,124,27
-61,-61,-61,-82,-100,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-98,-74,-74,-100,-100,-100,-74,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-83,-100,-98,-80,-61,-61,-100,-84,-100,-100,-100,-62,-69,-75,-87,-69,-89,-87,-61,-86,-85,-88,-88,-78,-92,-78,-78,-81,-78,-78,-87,-87,-90,-93,-82,-82,-83,-82,-82,-82,-83,-90,-86,-84,-84,-90,-96,-86,-91,-85,-89,-91,-91,-92,-91,-91,-96,-94,-99,-98,-94,-88,-97,-96,-94,-94,-95,-97,-94,-95,-97,-96,-93,-92,-92,-94,-97,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-88,-94,-100,-100,-89,-100,-96,-86,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-98,-100,-100,673,124,27
-63,-63,-63,-83,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-96,-75,-75,-100,-100,-100,-75,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-80,-100,-96,-79,-63,-63,-100,-79,-100,-100,-100,-64,-71,-85,-86,-71,-86,-86,-63,-84,-84,-84,-85,-78,-87,-81,-82,-82,-81,-81,-86,-86,-89,-96,-82,-82,-84,-84,-82,-84,-84,-90,-88,-88,-87,-93,-97,-85,-94,-89,-93,-86,-85,-86,-85,-87,-97,-89,-97,-98,-98,-86,-94,-91,-95,-96,-97,-97,-96,-98,-99,-99,-97,-97,-97,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-90,-100,-100,-86,-100,-100,-95,-100,-100,-100,-97,-100,-97,-100,-98,-100,-100,-100,673,124,27
-63,-63,-63,-83,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-96,-75,-75,-100,-100,-100,-75,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-81,-100,-96,-79,-63,-63,-100,-79,-100,-100,-100,-64,-71,-84,-86,-71,-86,-86,-64,-84,-84,-84,-85,-78,-87,-80,-81,-82,-81,-81,-86,-86,-89,-96,-82,-82,-84,-84,-82,-84,-84,-91,-88,-88,-86,-93,-97,-86,-93,-88,-92,-85,-85,-86,-85,-87,-97,-89,-97,-98,-98,-87,-94,-91,-95,-95,-97,-98,-95,-98,-99,-99,-97,-97,-97,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-90,-100,-100,-86,-100,-100,-94,-100,-100,-100,-97,-100,-97,-100,-98,-100,-100,-100,673,124,27
-61,-61,-61,-81,-100,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-98,-74,-74,-100,-100,-100,-74,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-83,-100,-98,-80,-61,-61,-100,-83,-100,-100,-100,-62,-69,-75,-87,-69,-88,-87,-61,-86,-85,-88,-87,-78,-92,-78,-78,-81,-78,-78,-86,-87,-90,-93,-82,-82,-82,-82,-82,-82,-83,-90,-85,-84,-84,-90,-96,-86,-90,-85,-88,-91,-91,-92,-91,-91,-96,-94,-99,-98,-94,-88,-97,-96,-95,-93,-95,-96,-94,-94,-97,-96,-92,-92,-91,-94,-97,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-88,-94,-100,-100,-89,-100,-96,-86,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-98,-100,-100,673,141,28
