ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:12,38:17:c3:1f:0e:10,38:17:c3:1f:0e:01,38:17:c3:1f:0e:11,38:17:c3:1f:0e:00,38:17:c3:1f:01:82,38:17:c3:1f:01:80,80:8d:b7:55:35:13,80:8d:b7:55:39:c1,80:8d:b7:55:35:12,80:8d:b7:55:35:10,80:8d:b7:55:35:11,80:8d:b7:55:39:d2,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:35:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d0,80:8d:b7:55:35:01,80:8d:b7:55:35:00,38:17:c3:1f:01:91,38:17:c3:1f:01:90,80:8d:b7:55:25:e3,38:17:c3:1f:01:92,44:48:c1:a5:82:21,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,80:8d:b7:55:25:f0,80:8d:b7:55:35:03,44:48:c1:a5:82:20,38:17:c3:19:d7:62,b0:be:76:f8:30:5e,80:8d:b7:55:25:f1,38:17:c3:19:d7:61,ac:e2:d3:c4:08:e6,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,38:17:c3:19:d7:72,80:8d:b7:55:3a:42,38:17:c3:19:d7:71,38:17:c3:19:d7:70,00:4e:35:df:06:40,80:8d:b7:55:3a:52,44:48:c1:a5:82:32,44:48:c1:a5:82:30,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,00:4e:35:df:06:52,20:a6:cd:50:24:a2,80:8d:b7:55:3a:51,80:8d:b7:55:3a:50,00:4e:35:df:06:50,44:48:c1:a5:82:31,00:4e:35:df:06:51,20:a6:cd:50:24:a0,60:32:b1:3e:1a:b8,00:4e:35:df:06:42,38:17:c3:19:45:b0,72:32:b1:3e:1a:b7,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,38:17:c3:1f:01:81,44:48:c1:a5:82:22,38:17:c3:19:d7:60,20:a6:cd:50:24:b0,20:a6:cd:50:24:a1,b4:5d:50:e1:92:23,60:32:b1:3e:1a:b7,66:2a:2f:53:7c:99,38:17:c3:1e:ff:00,00:4e:35:df:06:41,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,00:4e:35:de:e1:12,72:32:b1:3e:1a:b8,38:17:c3:1e:ff:02,68:ff:7b:e4:af:39,38:17:c3:1e:ff:01,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:19:55:51,38:17:c3:19:55:50,38:17:c3:19:45:a2,38:17:c3:19:45:a1,38:17:c3:19:45:a0,38:17:c3:1f:22:30,b4:5d:50:e1:92:33,00:4e:35:de:e1:11,00:4e:35:de:e1:10,b4:5d:50:e1:92:20,b4:5d:50:e1:92:21,b4:5d:50:e1:92:32,b4:5d:50:e1:92:31,b4:5d:50:e1:92:30,b4:5d:50:e1:92:22,38:17:c3:19:55:52,00:4e:35:de:e1:00,38:17:c3:19:55:42,38:17:c3:19:55:41,38:17:c3:19:55:40,00:4e:35:de:e1:02,38:17:c3:1f:08:50,38:17:c3:1f:08:41,38:17:c3:1f:08:42,38:17:c3:1f:08:40,00:4e:35:de:e1:01,00:4e:35:de:d7:53,44:48:c1:91:95:b3,38:17:c3:1f:22:20,00:4e:35:de:d7:52,00:4e:35:de:d7:51,00:4e:35:de:d7:50,a8:bd:27:4c:bd:21,38:17:c3:1f:22:32,68:ff:7b:e4:af:38,38:17:c3:19:71:82,38:17:c3:19:71:80,38:17:c3:19:71:90,a8:bd:27:4c:bd:30,00:4e:35:de:d7:43,00:4e:35:df:0e:12,38:17:c3:1f:08:51,38:17:c3:1f:08:52,00:4e:35:de:d7:40,00:4e:35:de:d7:42,38:17:c3:1f:22:31,00:4e:35:de:d7:41,38:17:c3:19:71:91,38:17:c3:19:71:92,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:a0,00:4e:35:df:0e:10,00:4e:35:df:0e:11,00:4e:35:df:0e:00,00:4e:35:df:0e:01,00:4e:35:df:0e:02,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:4f:12,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:24:58:a2,38:17:c3:1b:08:b0,38:17:c3:24:4f:01,00:4e:35:df:27:12,00:4e:35:df:27:10,x,y,timestamp
-82,-81,-79,-100,-80,-75,-82,-100,-100,-78,-69,-81,-79,-78,-69,-65,-65,-76,-69,-70,-76,-77,-100,-100,-74,-100,-65,-100,-100,-100,-78,-66,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-88,-78,-71,-71,-71,-100,-100,-100,-76,-100,-71,-71,-75,-71,-76,-100,-82,-78,-100,-100,-100,-100,-100,-100,-66,-100,-92,-100,-81,-85,-84,-100,-79,-100,-90,-79,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-100,-82,-78,-79,-100,-100,-82,-82,-82,-100,-86,-86,-100,-100,-100,-84,-100,-100,-100,-100,-100,-84,-100,-100,-86,-85,-86,-100,-100,-91,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,531,1829676359457
-75,-81,-79,-80,-80,-78,-82,-100,-100,-79,-65,-100,-79,-76,-67,-64,-65,-74,-67,-67,-73,-74,-100,-100,-100,-100,-63,-80,-82,-81,-78,-64,-100,-65,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-67,-67,-100,-100,-100,-74,-100,-71,-71,-75,-67,-76,-100,-82,-100,-100,-86,-100,-100,-100,-100,-64,-100,-90,-100,-100,-86,-82,-100,-79,-100,-90,-79,-100,-100,-100,-100,-100,-100,-84,-85,-100,-100,-100,-88,-84,-78,-79,-100,-100,-84,-84,-84,-100,-85,-86,-100,-100,-100,-84,-100,-100,-100,-100,-100,-85,-100,-100,-85,-85,-85,-100,-100,-91,-87,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,531,1833068825966
-75,-100,-80,-80,-100,-80,-100,-100,-100,-76,-65,-75,-77,-76,-69,-63,-61,-74,-69,-69,-74,-75,-100,-100,-79,-100,-61,-81,-81,-81,-78,-61,-100,-65,-80,-100,-100,-100,-100,-100,-100,-100,-92,-75,-72,-66,-66,-100,-100,-100,-75,-100,-72,-72,-76,-66,-76,-100,-90,-75,-100,-89,-100,-100,-100,-100,-62,-100,-90,-100,-100,-86,-82,-100,-76,-100,-100,-82,-100,-100,-100,-100,-100,-100,-84,-85,-100,-100,-100,-88,-83,-84,-79,-100,-100,-83,-82,-83,-100,-85,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-85,-100,-100,-87,-85,-85,-100,-100,-91,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,531,1836490965184
-69,-77,-81,-81,-78,-78,-78,-100,-100,-77,-66,-78,-79,-79,-69,-67,-68,-75,-68,-69,-76,-100,-100,-100,-74,-100,-65,-82,-80,-78,-76,-65,-88,-66,-79,-100,-85,-100,-100,-100,-100,-100,-100,-100,-70,-64,-64,-100,-100,-100,-75,-100,-70,-71,-75,-64,-78,-100,-91,-74,-100,-85,-77,-78,-79,-100,-66,-100,-100,-100,-87,-86,-86,-100,-74,-100,-100,-78,-100,-100,-87,-100,-100,-100,-85,-85,-100,-100,-100,-89,-83,-77,-78,-100,-100,-83,-83,-83,-88,-85,-100,-80,-80,-80,-100,-100,-100,-100,-91,-85,-83,-100,-100,-83,-83,-82,-100,-100,-92,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,531,1906053726407
-72,-100,-100,-81,-100,-78,-100,-100,-100,-77,-67,-78,-79,-78,-69,-67,-68,-75,-70,-69,-76,-76,-100,-100,-74,-100,-64,-79,-80,-80,-79,-65,-100,-66,-80,-100,-100,-70,-70,-100,-70,-100,-100,-75,-70,-64,-64,-100,-100,-100,-72,-100,-70,-70,-72,-64,-72,-100,-88,-75,-100,-100,-79,-78,-78,-100,-66,-100,-100,-100,-87,-85,-85,-100,-75,-100,-100,-79,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-90,-82,-80,-78,-100,-85,-83,-82,-82,-85,-85,-84,-82,-100,-100,-100,-90,-100,-100,-100,-100,-82,-100,-100,-83,-82,-82,-100,-100,-92,-100,-100,-100,-91,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,531,1909515087083
-73,-100,-100,-80,-100,-100,-100,-100,-100,-77,-68,-100,-79,-77,-70,-67,-67,-75,-70,-70,-76,-76,-100,-100,-74,-100,-66,-80,-82,-80,-79,-67,-100,-66,-81,-100,-88,-71,-71,-100,-72,-100,-100,-75,-71,-63,-63,-100,-100,-100,-74,-100,-72,-72,-75,-64,-75,-100,-88,-75,-100,-100,-79,-79,-78,-100,-67,-100,-100,-100,-87,-88,-85,-100,-75,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-82,-80,-80,-87,-85,-83,-82,-82,-85,-100,-85,-80,-100,-100,-100,-90,-100,-100,-100,-86,-82,-100,-100,-83,-83,-82,-100,-100,-92,-88,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,531,1912907096457
-81,-100,-81,-80,-100,-80,-100,-100,-100,-79,-68,-82,-79,-80,-70,-67,-67,-76,-70,-70,-76,-77,-100,-100,-100,-100,-66,-79,-80,-80,-79,-68,-100,-66,-79,-100,-85,-71,-71,-100,-72,-100,-100,-76,-73,-65,-65,-100,-100,-100,-75,-100,-72,-73,-75,-64,-76,-100,-88,-76,-100,-88,-100,-79,-81,-100,-67,-100,-100,-100,-87,-88,-84,-100,-77,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-81,-81,-80,-87,-100,-82,-80,-82,-100,-100,-85,-80,-100,-100,-85,-90,-100,-100,-100,-86,-82,-100,-100,-82,-83,-82,-100,-100,-92,-88,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,531,1916338763018
-70,-100,-81,-80,-100,-80,-100,-100,-100,-79,-68,-80,-77,-77,-70,-67,-67,-76,-70,-70,-76,-77,-100,-100,-100,-100,-67,-80,-79,-80,-79,-67,-100,-66,-79,-100,-87,-100,-100,-100,-100,-100,-93,-76,-74,-67,-66,-100,-100,-100,-75,-100,-74,-74,-75,-67,-76,-100,-88,-76,-100,-88,-100,-100,-81,-100,-67,-100,-91,-100,-83,-89,-84,-100,-77,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-81,-78,-81,-100,-100,-82,-82,-82,-100,-84,-100,-100,-100,-100,-85,-90,-100,-100,-100,-100,-82,-100,-100,-82,-83,-82,-100,-100,-89,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,531,1919668543485
-72,-100,-79,-79,-100,-79,-79,-100,-100,-77,-68,-76,-75,-75,-71,-67,-66,-77,-71,-71,-77,-77,-100,-100,-77,-100,-68,-80,-79,-80,-81,-67,-100,-67,-79,-100,-100,-72,-73,-100,-72,-100,-90,-78,-76,-68,-69,-100,-100,-100,-74,-100,-76,-76,-74,-68,-74,-100,-88,-78,-100,-87,-100,-100,-100,-100,-68,-100,-91,-100,-86,-89,-86,-100,-78,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-82,-81,-81,-100,-100,-82,-81,-82,-100,-84,-100,-82,-82,-84,-85,-91,-100,-100,-100,-86,-100,-100,-100,-82,-83,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,531,1923001146140
-74,-79,-100,-100,-80,-79,-80,-100,-100,-77,-61,-79,-78,-77,-71,-61,-62,-77,-70,-70,-75,-100,-100,-91,-77,-100,-65,-77,-78,-77,-75,-64,-100,-82,-78,-100,-83,-100,-71,-87,-71,-87,-86,-100,-71,-69,-69,-100,-100,-100,-79,-100,-70,-70,-77,-69,-78,-100,-100,-73,-100,-89,-81,-81,-82,-100,-65,-100,-100,-100,-84,-100,-100,-100,-73,-100,-100,-77,-100,-100,-100,-100,-100,-100,-84,-82,-100,-100,-100,-100,-88,-78,-100,-100,-87,-100,-90,-100,-87,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-90,-100,-100,-89,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,517,1973641071017
-77,-79,-100,-100,-80,-79,-80,-100,-100,-75,-60,-77,-76,-76,-70,-61,-62,-77,-68,-69,-75,-100,-100,-91,-77,-100,-65,-79,-78,-79,-76,-66,-85,-74,-77,-100,-100,-70,-71,-89,-68,-87,-90,-75,-68,-68,-68,-100,-100,-100,-77,-100,-68,-69,-78,-68,-77,-100,-87,-73,-100,-89,-81,-81,-82,-100,-65,-100,-100,-100,-85,-87,-100,-100,-73,-100,-100,-77,-100,-100,-100,-100,-100,-100,-82,-86,-100,-100,-100,-100,-87,-78,-78,-100,-87,-100,-88,-100,-87,-83,-100,-100,-100,-100,-83,-100,-100,-100,-100,-85,-83,-100,-100,-83,-82,-82,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,517,1976942393411
-73,-100,-82,-81,-100,-81,-76,-100,-100,-75,-62,-75,-75,-74,-70,-60,-62,-100,-69,-69,-100,-100,-100,-100,-100,-100,-71,-79,-77,-79,-76,-71,-85,-74,-78,-100,-100,-70,-100,-89,-70,-90,-89,-75,-68,-68,-68,-100,-100,-100,-76,-100,-68,-69,-75,-68,-76,-100,-86,-73,-100,-86,-100,-84,-100,-100,-70,-100,-100,-100,-85,-87,-89,-100,-73,-100,-100,-78,-100,-100,-100,-100,-100,-100,-82,-86,-100,-100,-100,-100,-88,-78,-78,-100,-100,-100,-88,-100,-100,-83,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-85,-100,-100,-84,-83,-85,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,517,1980413687420
-78,-100,-80,-79,-100,-80,-76,-100,-100,-75,-62,-75,-75,-75,-67,-63,-62,-100,-67,-67,-78,-78,-100,-100,-100,-100,-70,-79,-80,-80,-77,-70,-100,-71,-79,-100,-100,-70,-100,-89,-70,-89,-88,-100,-67,-68,-68,-100,-100,-100,-75,-100,-68,-68,-75,-68,-76,-100,-86,-71,-100,-86,-100,-84,-100,-100,-69,-100,-92,-100,-100,-87,-90,-100,-72,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-77,-78,-100,-100,-100,-92,-100,-100,-83,-85,-100,-100,-100,-84,-100,-100,-100,-100,-85,-85,-100,-100,-84,-86,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,517,1983759149554
-76,-100,-80,-83,-100,-80,-100,-100,-100,-77,-62,-77,-77,-76,-66,-62,-62,-76,-66,-67,-78,-78,-100,-100,-100,-100,-68,-80,-80,-77,-77,-68,-100,-75,-76,-100,-100,-100,-100,-89,-70,-89,-90,-100,-67,-69,-69,-100,-100,-100,-75,-100,-68,-68,-75,-69,-100,-100,-86,-71,-100,-100,-100,-100,-100,-100,-69,-100,-92,-100,-100,-87,-90,-100,-72,-100,-100,-75,-100,-100,-82,-100,-100,-100,-85,-83,-100,-100,-100,-100,-87,-76,-76,-100,-100,-100,-89,-100,-86,-84,-85,-100,-100,-100,-85,-100,-100,-100,-100,-85,-85,-100,-100,-87,-86,-84,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,517,1987052672001
-80,-75,-80,-81,-76,-80,-75,-100,-100,-75,-62,-77,-77,-76,-67,-62,-62,-80,-66,-67,-100,-100,-100,-100,-77,-100,-70,-76,-76,-76,-82,-71,-100,-70,-76,-100,-100,-73,-73,-89,-72,-100,-89,-71,-70,-69,-69,-100,-100,-100,-74,-100,-70,-69,-73,-69,-100,-100,-86,-71,-100,-87,-100,-100,-100,-100,-71,-100,-100,-100,-89,-86,-100,-100,-72,-100,-100,-76,-100,-100,-82,-100,-100,-100,-82,-83,-100,-100,-100,-100,-90,-77,-76,-100,-100,-100,-89,-100,-86,-83,-100,-100,-100,-100,-82,-100,-100,-100,-100,-83,-85,-100,-100,-86,-86,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,517,1990346193198
-73,-100,-79,-80,-100,-100,-100,-100,-100,-72,-67,-100,-73,-72,-74,-67,-67,-100,-74,-74,-100,-100,-100,-100,-100,-100,-69,-82,-81,-100,-74,-68,-100,-67,-81,-100,-100,-100,-100,-100,-100,-100,-91,-72,-67,-73,-73,-100,-100,-100,-77,-100,-67,-67,-76,-71,-77,-100,-100,-73,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-87,-100,-80,-100,-72,-100,-100,-80,-100,-100,-81,-100,-100,-100,-86,-85,-100,-100,-100,-100,-88,-81,-81,-100,-100,-100,-90,-100,-100,-86,-85,-100,-100,-100,-85,-100,-100,-100,-100,-84,-82,-100,-100,-81,-81,-81,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,504,2090801726597
-75,-100,-79,-80,-100,-100,-82,-100,-100,-71,-67,-72,-73,-71,-70,-67,-67,-79,-70,-70,-100,-100,-100,-100,-78,-100,-66,-81,-81,-82,-73,-67,-84,-67,-81,-85,-100,-100,-100,-100,-100,-100,-89,-71,-67,-76,-76,-100,-100,-100,-77,-100,-67,-67,-76,-77,-76,-100,-100,-70,-100,-100,-100,-100,-100,-100,-65,-85,-100,-100,-87,-90,-80,-100,-71,-100,-100,-78,-100,-100,-81,-100,-100,-100,-84,-85,-100,-100,-100,-100,-88,-79,-77,-100,-100,-100,-91,-100,-89,-85,-80,-79,-79,-78,-83,-100,-100,-100,-100,-82,-83,-100,-100,-83,-83,-82,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,504,2093964242950
-70,-100,-83,-83,-100,-84,-82,-100,-100,-74,-67,-72,-73,-73,-70,-67,-65,-79,-71,-70,-79,-80,-100,-100,-74,-100,-66,-81,-80,-80,-73,-67,-84,-69,-80,-85,-100,-68,-67,-100,-68,-100,-89,-72,-66,-76,-76,-100,-100,-100,-75,-100,-67,-66,-75,-77,-76,-100,-100,-72,-100,-91,-78,-84,-77,-100,-65,-85,-100,-100,-87,-90,-80,-100,-71,-100,-100,-78,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-88,-77,-77,-100,-100,-89,-88,-88,-89,-85,-80,-79,-79,-78,-82,-93,-100,-100,-100,-82,-81,-100,-100,-81,-81,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,504,2097418233990
-69,-100,-83,-83,-100,-84,-100,-100,-100,-73,-67,-74,-73,-73,-71,-67,-65,-81,-71,-70,-79,-80,-100,-100,-74,-100,-70,-81,-81,-81,-73,-71,-100,-67,-80,-100,-100,-68,-67,-100,-68,-100,-100,-72,-66,-69,-70,-100,-100,-100,-74,-100,-67,-66,-75,-69,-76,-100,-100,-72,-100,-91,-78,-79,-77,-100,-70,-100,-100,-100,-100,-100,-80,-100,-71,-100,-100,-75,-100,-100,-100,-100,-100,-100,-81,-82,-100,-100,-100,-89,-90,-75,-75,-100,-100,-89,-88,-88,-100,-82,-100,-100,-82,-100,-82,-93,-100,-100,-100,-80,-81,-100,-100,-81,-81,-80,-100,-100,-85,-100,-100,-100,-100,-100,-100,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,504,2100921997583
-71,-100,-84,-83,-100,-100,-100,-100,-100,-73,-67,-73,-73,-73,-71,-67,-100,-81,-71,-70,-79,-80,-100,-100,-79,-100,-69,-81,-79,-81,-70,-70,-83,-67,-80,-83,-83,-100,-100,-100,-100,-100,-90,-72,-65,-70,-70,-100,-100,-100,-76,-100,-65,-66,-75,-70,-75,-100,-100,-72,-100,-100,-78,-79,-77,-100,-68,-83,-100,-100,-89,-100,-80,-100,-71,-100,-100,-75,-100,-100,-78,-100,-100,-100,-81,-82,-100,-100,-100,-89,-90,-75,-75,-100,-100,-100,-89,-100,-100,-82,-81,-100,-82,-100,-100,-90,-100,-100,-100,-80,-79,-100,-100,-79,-79,-79,-100,-100,-85,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,504,2104371400550
-73,-100,-83,-84,-100,-100,-100,-100,-100,-72,-67,-71,-71,-71,-70,-67,-100,-81,-69,-70,-100,-100,-100,-100,-79,-100,-69,-81,-79,-81,-73,-70,-83,-68,-80,-83,-100,-100,-100,-100,-100,-100,-90,-72,-64,-70,-70,-100,-100,-100,-73,-100,-64,-64,-74,-70,-74,-100,-88,-72,-100,-100,-78,-78,-77,-100,-69,-83,-100,-100,-89,-100,-80,-100,-71,-100,-100,-79,-100,-100,-78,-100,-100,-100,-81,-81,-100,-100,-100,-100,-89,-78,-79,-100,-100,-100,-89,-100,-100,-82,-81,-100,-100,-100,-100,-90,-100,-100,-100,-100,-79,-100,-100,-79,-80,-79,-100,-100,-84,-100,-100,-90,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,504,2107807170236
-73,-81,-82,-82,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-69,-68,-67,-76,-69,-68,-76,-76,-100,-100,-100,-100,-71,-79,-80,-79,-75,-72,-100,-64,-80,-100,-100,-67,-66,-85,-67,-86,-85,-75,-64,-74,-75,-100,-100,-100,-77,-100,-64,-64,-78,-74,-76,-100,-100,-76,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-92,-100,-84,-100,-75,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-90,-89,-77,-77,-100,-100,-90,-90,-87,-100,-100,-84,-100,-100,-82,-85,-88,-100,-100,-100,-86,-87,-100,-100,-86,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,491,2159882609852
-77,-81,-83,-82,-81,-83,-81,-100,-100,-75,-70,-75,-76,-76,-73,-70,-69,-77,-73,-73,-76,-78,-100,-100,-100,-100,-71,-79,-80,-79,-76,-72,-100,-70,-80,-100,-85,-67,-66,-85,-67,-86,-85,-75,-66,-77,-77,-100,-100,-100,-77,-100,-66,-66,-78,-78,-76,-100,-100,-74,-100,-100,-100,-100,-78,-100,-74,-100,-100,-100,-92,-100,-84,-100,-75,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-90,-89,-79,-78,-100,-100,-90,-90,-87,-100,-83,-84,-100,-100,-82,-81,-86,-100,-100,-100,-86,-87,-100,-100,-86,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-86,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,491,2163227142246
